id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1010001,1225,"Aa, van der","stamreeks Leonius de Aa x Oda, dochter van Gerardus de Grimbergen dom. van Ninove 1225; Gerardus de Aa vermeld 1312; Johannes de Aa heer van Gruithuise 1350; Johanna de Aa x Henricus heer van Bergen op Zoom; Joanna de Bergen op Zoom x Joannes de Brabantia alias de Glimes",Miraeus: Opera Diplomatica I p 441,,
1010002,1145-10-18,"Aa, van der",koning Coenraad bevestigt een ordeldrager door Hendrik graaf van Gelre aangewezen voor de graafschappen Oostergo en Westergo; lijst met getuigen waaronder Walterus en zijn zoon Heinricus,Sloet no 285,"Heinricus de Gelre, Godefridus de Arnesberg et frater eius  Heremannus, Theodericus de Altena, Adalbertus de Norvenick, Godefridus prepositus Nurenbergensis, Robertus  de Lurenburg, Godefridus de Rinen et filius euis Hugo, Giselbertus filius Hugonis advocati, Gerardus de Marten, Alardus de Megene, Jordanus de Windesheim, Godefridus de Welrene, Peregrinus de Campfeld, Lithardus de Disenhem, Alardus de Wisenthurst et frater eius Winemarius, Theodericus de Bokeshorst et frater eius Werenboldus, Wilhelmus Gorensis, Rodulphus de Wia, Otto de Malberg, Everhardus Crickelman, Heinricus de Papenheim marescalius noster, Henricus Freso et frater eius Wigerus, Henricus de Boninghe, Arnoldus de Rodenburch dapifer noster, Conradus Pris pincerna, Tibertus camerarius, Walterus de Lovenhusen, Marquardus de Grumbach, Conradus de Walrestein, Tibertus de Spileberg, Otto prefectus Trajectensis, Albertus telonarius, Rodulphus, Wernerus, Walterus et filius eius Heinricus, Ekkebertus de Amestele, Bertolfus de Aldenseelon, Jacob de Saterslo ",
1010003,1156,"Aa, van der","keizer Fredrik I bepaalt de grenzen tussen de goederen van het kapittel van St Marie en Egbert van Aemstel, met als scheidslieden Walterus de A, Albero de A, Henricus de Lonreslothe en Aloldus Cultel, inwoners van die streek",v.d.Bergh I no 135,,
1010004,1156,"Aa, van der","Godfried, bisschop van Utrecht verklaart dat Hendrik van Oosterhout zich ten onrechte de tienden van Callantsoog toegeigend heeft; in de lijst met testibus ministerialibus: Walterus de A et filii eius Heinricus et Helyas",De Fremery no 11,"testes ministeriales: Otto Castellanus, Tidricus frater Alberonis, Walterus de A et filii eius Heinricus et Helyas, Fridericus de Veht, Gozwinus, Luidbertus capellarius, Gerhardus Rufus, Herenboldus de Veht et fratres eius, Herenbertus de Pascua et filii eius, Heremannus de Aldewic, Arnoldus de Everickesdorpe, Amezo, Godfridus; nobiles et liberi: Tidricus de Rene en zij nbroer Gerlagus, Tidricus de Arkentel, Walterus de Stapele, Wilhelmus Luscus [= eenoog] [de Goye~], Everdejus Longus, Godescalcus de Martena, Olricus Moge en zijn zoon Olricus, Isbrandus",
1010005,1159-07-03,"Aa, van der","Godfried, bisschop van Utrecht, vergunt op verzoek van Robert, abt van Marienweerd, aan de eigenaars van het land Thurslac , een wetering door hun land te graven. In de lijst van getuigen: Galterus de Aa,  Wouter van der Aa, Helyas filius eius",Oorkbk Sticht Utrecht no 427/Cartul Marienweerd no 9,"Galterus de Stapelo, Otto de Malberghen, Wilhelmus Luscus [van Goye], Gerardus scultetus, Albero frater eius, Galterus de Aa, Helyas filius eius, Giselbertus stabularius, Wilhelmus de Tillo, Arnoldus Ramp, Zegherus frater eius, Lubertus de Thriberghen, Weremboldus de Wercunde, Gerardus Claptant, Warnerus frater eius",
1010006,1164-1169,"Aa, van der","het kapittel van Oudmunster draagt aan Lambert de A een stuk land te Eiteren over, als tinsgoed",Oorkbk Sticht Utrecht no 443,"Giselbertus Havese, Ilias en Walterus de A, Wilhelmus de Schalcwig, Heinricus et Hugo Ultra Veht, Hildeboldus, Hergerus, Liudolfus, Riquinus",
1010007,1165-04-22 - 06-18,"Aa, van der","Godfried, bisschop van Utrecht oorkondt de gift van een huis en hofstede aan de kerken van St Marie, St Jan en Oudmunster te Utrecht",Oorkbk Sticht Utrecht no 445,"ministeriales: Heinricus Albus, Helyas de A, Godefridus de Seist, Lutbertus de Odeke; liberis: Theodricus castellanus en zijn broer Gerlagus, Wilhelmus comte Strabone en zijn zoon Wilhelmus [van Goye]",
1010008,1165,"Aa, van der",keizer Frederik I beveelt de graaf van Holland de dam bij Zwammerdam te slechten,v.d.Bergh I no 145,"Meynardus comes de Noviomago, Folbertus, Gerardus Trajectensis scultetus, Wilhelmus de Scalcwyck, Lubbertus de Odyck, Elias de A, Enghebertus de Aemstel, Hermannus de Wourden et frater Godscalcus, Theodericus de Judefax, Albertus Pavo",
1010009,1169-06-18<,"Aa, van der","Godfried, bisschop van Utrecht, koopt 20 bunders land, behorende tot den hof te Beusichem",Oorkbk  Sticht Utrecht no 465,"Volpertus de Dipenhem, Walterus de Stapele, Gerlagus de Perke, Otto et Riquinus de Maldberge, Gerardus, Godescalcus, Walterus de Merten, Helias et fratres eius, Lutbertus de Odeke, Albertus de Spik, Albero Pau, Otto capellarius, Isebrandus, Heinricus",
1010010,1169-09-24<,"Aa, van der","Boudewijn, proost van St Marie te Utrecht, beleent zijn kapittel met tienden en gerecht te Wiltenburg en tienden te Lopik, opgedragen door Gerardus zoon van Fraberti ",Oorkbk  Sticht Utrecht no 466,"Florentius comes Hollandiae et fratres Robertus et Otto, Florentius de Vorne, Wilhelmus Luscus [van Goye ?], Hugo de Islemunde, Theodricus Quintus, Engilbertus, Giselbertus, Heinricus de A, Theodricus Knif, Heinricus Niger, Hezelo de Wercundia, Frethericus f. Arnoldi, Bertoldus de Paindreht, Maurin et filius Theodricus, Volpreht [= Folpert] Kind, Bertoldus de Imecek",
