id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1030001,1348-06-19,Kaeijmaij,"stierf Hildegond, huisvrouw van Gerard Kaeijmaij, die 10 sch per jaar besprak; 1368-09-02 stierf Gerrit Kaeijmaeij in Alkmaar, die 5 £ besprak","Kroniek Egmond Dagregister p 266, 272",,Alkmaar
1030002,1316,Caelwaert,"ontvangsten in Noordholland: van landhuur in den Nuenbroek: in den Elfhoven: Kette Caelwaertsz 12 sc, Dirc Kettenz 4 sc",Rek Hen Huis p 32,,
1030003,1410~,"Caenbroek, van","leenregister Culemborg: - Peter van Caenbroeck dat rechte viertel van een viertel land  in Caenbroeck, strekkende van Honswicker weteringe tot Scalcwikerweert, belend boven: Peter zelf met een hoeve land die hij houdt van de bisschop van Utrecht, beneden: de kerk van Culemborg",Leenregister Culemborg fol 80,,
1030004,1523~,caescoper,"leen no 43): Joost Jacobsz, caescoper te Delft, heeft als eigendom het vroeger leen van 19 morgen in Maasland ",Ons Voorgeslacht 10-1988 p 442,,
1030005,1543,Caeskooper,schepen van Hoorn: Floris Gerbrantsz kaeskooper; 1541: Floris Gerbrantsz,Velius Chronyk van Hoorn schepenen p 17,,
1030006,,Cakebone,zie op: Cokebone,,,
1030007,1573-07-13,Cabeliau,"Jacob Cabeljauw van Gent x Margaretha de Rulin; hieruit: Jacob Cabeljau, ""tot superintendent met een vendel binnen Alckmaer gesonden"" (depeche prins Willem I)",Batavia Illustrata bl 932; Navorscher 1897 p 389,,
1030008,1316,Caland,ontvangsten in Noordholland: van landhuur in den Elfhoven: Reynoud Caland 11 sc; afterstal in Ellefhoeven: Reinoud Kalant 10 sc 8 d,"Rek Hen Huis I p 32, 97",,
1030009,1606~,"Kalkesteyn, van","Mellis van Kalkesteyn, te Amsterdam x Soetje van Zevender, gestorven 1606 zeer oud en kinderloos. Zij hertrouwt Roeterd van Lanskroon te Utrecht",Batavia Illustrata bl 1187,,
1030010,1390,Calchoff,"Gherit van den Cortenhoeven geheten Calchoff, Gherit en Johan, ses fils, ont vendu le château de Wesenthorst, wapen met randschrift: van Cortenhorn (Cortenoor)",De Raadt II p 261/Arnhem Rekenkamer no 608; Nyhoff: III p 161,,
1030011,1628-10-13,Kalckman,"losrenten kantoor Enkhuizen: verschijndag 10-18, Willem Focksz. Kalcman fl 710 - fl 28-8; afgelost 1778-01-14; 1631-08-21/11-01: Willem Focksz Kalcman, fl 400 - fl 16",Arch. Gecomm Raden Noorderquartier Inv no 51,,
