id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1040001,1601,"Daarle, van","Coenraad van Daarle x Margaretha van Duvenvoorde, gestorven 1601. Hieruit: Herman, Jan, Anna van Daarle",Batavia Illustrata bl 1156,,
1040002,1415,"Dabben, van",schepen van Heusden: Thierry van Dabben,De Raadt I p 362,,
1040003,1294-09-26,Dachverlies,vermeld Johannes Pikenoet en Everardus Dachverlies als schepenen van Heusden,De Fremery no 297,,
1040004,"1483, 1487, 1521",Dachverlies,"schepen van 's Hertogenbosch: Jan Dachverlies; 1487: idem; 1521: Walraven Dachverlies, met zegel (zespuntige sterren)",Navorscher jg 1890 p 524; De Raadt I p 365; Batavia Illustrata bl 1024,,
1040005,1375,"Daesdonk, van","Henri et Pierre van Daesdonc, frères, jadis prisonnier à Basweiler, dans l'armée brabanconne, touchent, à Breda un acompte",De Raadt I p 362,,
1040006,1382-08-28,"Daesdonk, van der","Jan van der Lecke en van Breda, voor zichzelf en voor Gielys uten Campe, Roever Roeversz van Rijsberg, Petre van der Daesdonc, die deelgenomen hebben aan de oorlog van Brabant tegen Gelre, schelden de vrouwe van Brabant kwijt ""van allen verlyesen, cost, scade, moyenesse""  ",De Raadt III p 282,,
1040007,1487,"Daesdonk, van","altare St Judoci in ecclesia de Woude in Noordbrabant, rector dominus Adiranus de Daesdonck, absens ",Taxandria 1923 p 188,,
1040008,1486-07-28,"Dageraet, van","Cornelis van Dorp, ridder, verklaart verkocht te hebben aan Symon Jan Mathysz van Dageraert, zijn neef, een jaarrente van 10 £ Holl verzekerd op 28 morgen land in het ambacht van Dorp gelegen. Hierbij staat aangetekend dat deze rente gelost is en de penningen gebruikt voor de koop der gorzen van Piershil",Arch Kapittel St Marie op het Hof te 's Hage regest no 347,,
1040009,1492-07-06,"Dageraet, van","de voogden van Jacob Symon Jansz van der Dageraet en Jan van Poel dragen krachtens testament van wijlen Symon Jan Mathysz aan de gasthuismeesters van het oude gasthuis binnen Delft de jaarrent van 10 £ Holl over, breder vermeld in een brief d.d 1486-07-28, no 347",Arch Kapittel St Marie op het Hof te 's Hage regest no 387,,
1040010,1281-1284,"Dale, uten","lenen ten tijde van Floris V: no 113) Geiman Hughenz uten Dale, te Monster bij de kerk, van land 2 £; no 114) zijn broer Wiggher, 2 £  in de Riesdijc",De Fremery no 228,,
1040011,1371,"Dalem, van","Sophia van Dalem: wie haar vader is staat  niet vast. Zij kan een dochter zijn van Jan van Dalem rentmeester van graaf Jan van Bloys, of een jongere zuster van deze Jan en dan een dochter van Floris van Dalem, heer van Dalen. Jan van Chatillon verwekte bij haar o.a. Margriet en Jan van Dorp. Sophia werd door Jan van Chatillon uitgehuwelijkt aan Jan Berwoutsz (van Zaenden) ""onsen man"" (zegt Jan van Chatillon) vóór zaterdag na Catharinendach 1371. Deze Jan Berwoutsz moet dood zijn vóór 1375, waarna Sophia hertrouwt met Gooswijn (de) Sloeijer. Zaterdag na Catharinadach 1371 wanneer graaf Jan, op verzoek van Jan Berwoutsz, Sophia van Dalem die nu zijn vrouw is, beleent met leengoed in Westzaenden; 1378-02-12: aan Sophia opgedragen. Jan Berwoutsz stierf kinderloos en Guy van Chatillon bevestigt de rechten der kinderen van Sophia en beleent Jan de bastaard, onsen neve, de zoon van Sophia (van Blois van Treslong) waarna Jan dit goed in onderleen geeft aan Goesijn de Sloeijer, nu gehuwd met Jans moeder. Zie ook rekening Jan Tolnaar 1373-1375 als rentmeester van Bloys waarin een post in de week ingaande 19 november 1375, waarin aan Fije Sloyers wijf 5 vaten hoppenbiers worden geschonken. M.i. dus Sophia van Dalem x 1. 1371 Jan Berwoutsz van Zaenden x 2. voor 1375 Goossen Hoijer. Zij leeft nog juni 1383","Holl Leenkamer 111 fol 118v, fol 180v, no 46 fol 52, fol 43",,
1040012,1254-06-25,"Dalem, van","heer Jan van der Lede en zijn neef Hugo van Arckel, belenen heer Floris van Dalem ondermeer met het hoog en laag gerecht in Dalem en ⅓ deel van de grote en kleine tienden in het Nielant  (zie 1360-02-05 in de Collectie Booth; zie Fruin Catal Recht Arch Utrecht  no 1875, 2e deel fol 121). Vidimus gegeven door Philippus van Groenevelt, proost van Elst, op verzoek van Floris van Dalem, ""schiltboortige man""""onder Utrecht gezeten"", die de brief in handen had, welke voorzien was van bovengenoemde zegels. Floris begeerde ""desen brief wijt gecopieert te hebben van enen notarius gehieten Ghysbert van Beesde Jansz""",Ned Leeuw 1941 p 470; Inv Recht Arch no 1875 dl 2 fol 120v en 121,"de broers Jan en Otto van Arkel, Hugo en Jan van der Lede, Nicolaas van Vuren, Wouter van Haeften, Arnoud, priester van Arkel, Lambert priester van Gorinchem, Jan priester van Oisterwijk, Gerard, ridder Heyligen (?Landes), Gerard van Alfen, Spaen van Kedichem, Brien van der Werken ",
1040013,1270-1298,"Dalem, van","Adriaen van de Merwede heer van Clootwijk leefde anno 1270 en 1298 x … van Daallem, hieruit: 1) Adriaen van Clootwijk;  2)  … x  van Hoorn; 3) Jan van Muylwyk x Altena",Balen: Dordrecht p 1113/Batavia Illustrata p 1011,,
1040014,1321-12-17,"Dalem, van","Jan heer van Arkel oorkondt dat onse getrouwe man Walraven van Benthem hem opdroeg een camp land die hij van hem in leen hield, gelegen te Borchmalsen [Geldermalsen], ter stede die geheten is die Voetacker, en gaf deze aan de abdij Marienweerd",Cartul Marienweerd no 221,"mannen: Floris Jansz van Dalem, Tielman Willemsz uten Campe, Louken Woutersz, Goswyn Valc",
1040015,1323-04-02,"Dalem, van",ten overstaan van de 4 procuratoren van de Elect erkennen schepenen en raden en gemeente van Zwolle Johan van Diest als bisschop van Utrecht,Regest Bischoppen van Utrecht no 561,"van: Gerardus Lapicida, geestelijke uit Zutphen, Helmicus de Vorste, kanunnik van Deventer, Johannes de Apeldoorn, investitus kerk van Zwolle, Johannes de Clivo, kapellaan aldaar, Alexander de Hoclem, geestelijke, keizerlijk notaris, Arnoldus de Dalem, Reynerus, rector scolarum in Swolle, Hermannus de duren, Gherardus Kunst e.a.",
1040016,1324-10-18,"Dalem, van",schepen van Gorinchem: Florens van Dalem ,Navorscher jg 1895 p 15,,
1040017,1326,"Dalem, van","10 £ per jaar aan de helft van den huyse te Gorinchem aan het noordeinde gemeten, dat Jans van Dalem hield; 1326: Florens van Dalem",Reg Geld Leenaktenboeken stuk V Uitheemse Lenen bl 63,,
1040018,1330-03-18,"Dalem, van","ver Saelmi, de vrouw van wijlen Gysbrecht van Beesd, en Alverade, haar dochter met Floris Jansz als haar voogd, Jan van Dalem, Godevaert en Claes, alle drie zonen van veren Saelmi, verkochten aan Marienweerd 2 ½  hont land in het gericht van Beesd in de Ridderslach, belend: Marienweerd en Rolof Ermgard Sandersz","Cartul Marienweerd no 361, 362",borg: Egbrecht van Beesd,
1040019,1330-11-29,"Dalem, van","Gherard heer van Voorne verklaart in leen gegeven te hebben aan Janne van Dalem Ghizebrechtssone van Beest, 5 ½  morgen land gelegen voor Ruemde in de Linghen, belend aan de zuid: de graven van Gelre, noord: Ghizebrechts kinderen van Beest","Reg Rotterdam en Schieland no 406/p126, A.R.A. Leenkamer 90 Voorne fol 24","getuigen o.a.: Diedric Bokel, ridder",
1040020,1331,"Dalem, van",isti sunt quos correxi in Zuut-Hollandia In Papendrecht: Jacobus de Dalem de clamdestino 12 gr,Reg en Rek Bisdom Utrecht II p 542,,
