id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1090001,1295-08-22,Idam,"Nicolaas, abt van Middelburg, geeft de kerk van Meliskerke, vacant door het overlijden van Henricus Idam, persbyter aldaar, aan Floris van Jutfaas",De Fremery no 304,,,
1090002,"1413, 1414",Ideken,"Jean Ideken, fils de Henri, schepen van Helmond",De Raadt III p 329,,,
1090003,1348-06-21,Yben,"stierf Geertruyd, vrouw van Ysbrand Yben, 10 sc, en is voor de zuidzijde van het Paradijs begraven; ….-06-21: stierf Ysbrand Yben, en gaf een stuk land, 5sc jaarlijks opbrengend",Kroniek Egmond p 266/Dagregister,,,
1090004,1330-1331,Ydo,"ontvangen van Willem Hildegondenz van de visserij in heer Berewouts ghemene ambacht, boven dat er Heinric Yen kinderen in hebben en Witman Godeldenz, 40 sc",Rek Hen Huis p 126/Rek Rentmeester Zuidholland ,,,
1090005,1330,Ydo,"uitgaven: van Jan heer Gillisz, rentmeester van Zuidholland: - heer Coenraede van Oesterwyc, bi Witten brieve Heinric Yenzone, van zijn leen, 10 £  [van Schoonhout ?]; ontvangen (zonder bedrag): van Witte Scildemansz, van de visserij in Scildemansambacht","Rek Hen Huis I bl 146, 126",,,
1090006,1331,Ydo,"ontvangen van Jan Ydenzone van de gruit van Dordrecht, 320 £ Holl",Rek Hen Huis I bl 129,,,
1090007,1332-12-18,Ydo,"graaf Willem oorkondt dat  Jan Ydenzoon ""van ons ghenomen hevet te diken in Zwindrecht, mit al mit den ambochte, ghelike den anderen ambochtsheren: - 20 manninghe lands dair Gillis die Crudenaer dat wederdeel jeghens heeft ""; -  28 manninghe lands daar Clays Stormsz 12 manninghe land van heeft; totaal: 48 manninghe land",Van Mieris II p 537,,,
1090008,1341-06-06,Ydo,"graaf Willem scheldt de drie schellingen Hollands van elke morgen van de 160 morgen land, behorende aan Witte Hendrick Yenzoons kinderen, in Zwijndrecht, kwijt; 1382-05-11: idem verleend door hertog Albrecht; 1376-02-11: kort daarna overleed Hendrik Ydo kinderloos, althans zijn goederen kwamen aan zijn neef Zeger Florisz","Nibbelink regest no 43, 76/Reg EL 32 fol 45c/Reg Hann",,,
1090009,1346~,Ydo,"grafelijke lenen: - Schilman Wittenz 46 morgen in Swindrecht, zoals Heynric Ydenz bedijkt had en zijn broer Jan had",Bijdr Hist Gen 1901 bl 154/Reg EL 5 fol 28r,,,
1090010,1361-1362,Ye,"rentmeestersrekening Zuidholland: uitgegeven aan leenmannen: - Heynric Ye Sciltmansz, bij handen van zijn neef Henric Yen [Wittenz]",A.R.A. Grafelijke Rekenkamer  no 515,,,
1090011,1361,Ye,"leenregister van Putten: no 275) 4 gemet land in Schiekamp, onder zijn huis, strekkend tot de Oosterleek, 1361: Jan Ye; 13..: Yman Jan Yenz; 1361-1393: Spikenisse, Jan Ye houdt 4 gemeten land in Scadencamp onder zijn huis, streckende tot Oesterlee toe van der zuidside in",Ons Voorgeslacht jg 1979 p 221; R.G.P. Grote Serie 170 Rek Dom Putten II p 341,,,
1090012,1362-11-27,Ydo,"magistro Henrico Yde de Beest Traject dyocesis, studeert medicijnen in Parijs",Dr R.R. Post: Supplieken aan de Pausen dl II no 374,,,
1090013,1376-02-11,Ydo,"Hendrik Ye Wittenz draagt over de tienden te Zwijndrecht en wordt beleend met zijn ambacht in Zwijndrecht, dat zijn vader Witte bedijkt had, te komen op zijn neef Segher Florysz",Nibbelink regest no 70/Van Mieris III bl 319,,,
1090014,1391-09-03,Ydo,"leen van Vianen: de helft van de koren- en smaltiende van Boeicop, strekkende van Heicopedijk tot Bolgerij, belend oost: het land van de heren van Arkel, west: de nieuwe weg, 1391-09-03: Zeger Florisz, gemeen met Gysbert van Loon en Henric Ydenz, broers, in heer Arnoudsgerecht; no 402D) ¼ van het leen: 1388-03-04, Ye Zegersz; 1391-09-03: Henrick Ye Zegersz; 1400-04-27: Floris van Kyfhoek Zegersz, zoals zijn vader Zeger",Ons Voorgeslacht 1986?,,,
1090015,1392-06-30,Ye uter Loo,"leen van Vianen: Arnoud Overrijnsz beleend met ½ hoeve in Boeicop, belend boven: Govert van Amersfoort, beneden: Aleid, dochter van Ye uter Loo met no 512)",Ons Voorgeslacht 1986-06 p 521,,,
1090016,1394-1395,Ydo,"renten uit het land van Voorne: (fol 2 p 183)het blok waar Albrecht Mande in woonde met het blok waar Serws Beyenz hofstede in ligt: - Heynric Ye, 40 £; - Goudhoec, Henric Ye, 14 £;  (fol 7v p 188) Vockendijc, Heynric Ye, 3 £;  (fol 14v p 195) Henric Ye, 2 meten van Claes die Coc, 34 sc, maakt 3 £ 8sc; (fol 17v p 197) die sluus in t Woudekyn ende die strepe, Henric Ye tot des lands behoef, 33sc; - (fol 36 p 216) afterstal: Henric Ye 22sc 4d, (fol 37v p 217) 7£ 10d; 1395-1396: (fol 5v p 251) ""Vocken dyc"", Heynric Ye 3£; ""Loefsdyc"", 4£; (fol 10v) Heynric Ye 2 meten van Claes die Coc, t met 34sc, maakt 3£ 8sc; (fol 12 p 260) die sluys int Woudekin en in Stripe, Heynric Ye tot slands behoef, 32sc",Rek Rentmeester Voorne,,,
1090017,1304~,Ye,"leen van Putten in Zuidholland: Jan Ye, 4 gemeten land in Scadencamp onder zijn huis, tot Oesterlec toe",Ons Voorgeslacht jg 1970 p 66,,,
1090018,1281,Yo,"lenen ten tijde van Floris V: in Vlaardingen 9 morgen land aan de Sydewende, Yo, poorter van Vlaardingen ",Ons Voorgeslacht jg 1973 p 119; De Fremery no 228,,,
1090019,1316-02-18,Ye,"schepen van Gorinchem: Witte Henric Yenz, zegel: een schild waarop een wild zwijn, met bastaardstreep",R.A.U Arch Oudmunster Inv no 1816,,,
1090020,1500~1600,Ydo,Anna Ydo x Adriaan van Blyenburg,Batavia Illustrata bl 873,,,
1090021,1076-1099,"Iendric, van","vermeld in een oorkonde: Lambertus de Iendric, een Gelders of Brabants edelman",Sloet no 184,,,
1090022,1554-1557,"Yeghem, van","Willem Zegers van Yeghem heer van Wassenhoven en Arentsberge, ambachtsheer van Bergambacht, Raad in het Hof van Holland, contra schotvangers van Bergambacht","Grote Raad Mechelen Beroepen Holland dl VI dossier 517, 518",,,
1090023,1558,Yelden,"Lysbeth Adriaensdochter, weduwe van Claes Jansz IJelden, te Delfshaven, eist betaling van Jan Pietersz Swaerooch te Amsterdam voor haring die aan Swaeroog geleverd is (obligatie 1558-02-16)",Grote Raad Mechelen Beroepen Holland dl VI dossier 536,,,
1090024,1568-12-22,"Iepma, van","Jarich Iepma, ontvanger van de Vroonlanden [benoorden Alkmaar] voor de koning",Grote Raad Mechelen Beroepen Holland dl I dossier 834,,,
1090025,1290-04-11,"Ierseke, van",opgaaf van degenen die de graaf van Vlaanderen hulde gedaan hebben van hun landen in Zeeland tussen Heidinzee en Schelde: o.a. no 36) Alous fils Aloud de Giersebeke,v.d. Bergh II no 695,,,
1090026,1290-06-12,"Ierseke, van",uitspraak in het geschil tussen graaf Floris V en de Zeeuwse edelen: op Zuidbeveland o.a. genoemd: Aloud van Herseke,v.d. Bergh II no 723,,,
