id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1130001,1416,Naeijer,"Jacob Naeijer, afterstal van 1415 van Vroonland, 9sc 2d (846 fol 17v); 1417: (847 fol 16) afterstal van 1416, 3 £ 12sc 2d; 1418: (848 fol 15v) afterstal van 1417, 5sc 2d; 1419-1420: (850 fol 10) afterstal van 1417, 5sc 2d; 1422-1423: (852 fol 11) afterstal van 1419, 1420 van vroonland 3 £ 12sc 2d",Rek Rentmeester Kennemerland,,
1130002,1156,"Naaldwijk, van",getuige voor graaf Dirk van Holland: o.a. Unarch de Naldwic,v.d. Bergh I no 133,,
1130003,1220-06-29,"Naaldwijk, van",Dirk heer van Voorne schenkt het land Middelland aan de abdij ter Does,v.d. Bergh I no 269,"getuigen: Hugo de Naldewick en zijn broer Bartholomeus, ridders en cognati domini de Vorne, Bartholomeus clericus en zijn broer Hugo, Gerardus Gladinc, Alardus de Rockainge en zijn zoon Hugo, Wilhelmus Onscone, Arnulfus filius Geile, Costin de Somerlant",
1130004,1223-05,"Naaldwijk, van","graaf Floris IV en Drik van Voorne geven een keur aan Westkappel, getuige o.a. Hugo de Naeltwijk",v.d. Bergh I no 279,,
1130005,1226-01-26,"Naaldwijk, van","uitspraak in de twist tussen de bisschop van Utrecht en de graaf van Holland over het stoppen van de Rijn bij Zwammerdam. De graaf moet zijn beweringen onder ede laten bevestigen door 4 mannen: Willelmus de Teylingen, Willelmus de Egmunda, Hugo de Naldewike, Jacobus burggravius de Leithen",v.d. Bergh I no 294,,
1130006,1227-02-24~,"Naaldwijk, van","Aleidis comitissa Hollandie schrijft aan amicis suis, nobilibus viris Theoderico de Vorne, Florentio de Wort, Hugone de Naaldwyc, dat heer Nicolaas Persijn met haar toestemming de van haar in leen gehouden tiende van Heimond aan Marienweerd verpand heeft voor 100 £",Cartul Marienweerd no 44/De Fremery no 61,,
1130007,1229-11,"Naaldwijk, van","Henricus heer van Voorne en zijn broer Hugo, met Hugo de Naldwic en zijn broer Bartholomeus, nepotes mei, schenken goederen in Zeeland aan de abdij ter Does (het land Osthoec); [vidimus van Floris IV: misschien is de gift ouder]",v.d. Bergh I no 316,,
1130008,1230-12-06,"Naaldwijk, van",Henric heer van Voorne maakt het leengoed van zijn bloedverwant Floris de Wordt tot een onversterfelijk leen,v.d. Bergh I no 324/Reg Putten en Strijen met de houten borden fol 32,"W[outer] de Hairlem, Tho [Dirk] de Wassenaer, Henricus de Naeldwijc, B [artholomeus] de Ma[er]land",
1130009,1236-09-15,"Naaldwijk, van",getuigen voor heer Henric van Cuyck,Oorkbk Holland en Zeeland II no 581/Ons Voorgeslacht 06-1987 p 333,"Henrik heer van Voorne, Hugo van Naaldwijk, Bartholomeus, diens broer, Dirc van Wassenaer, Alewijn van Rodenrijs, Symon van der Burch",
1130010,1246-04-05,"Naaldwijk, van","Hendrik heer van Voorne schenkt tot heil van zijn ziel, en die van zijn ouders en van zijn avunculus heer Hugo van Voorne, alle inkomsten van zijn heergewaden aan het hospitaal van het Duitse huis",v.d. Bergh I no 417,"testes: dominus Theodericus frater suus, Albertus frater suus, Albertus van Crumendam, Girkinus de Poele, Albertus Piscator, Henricus frater domini Hugonis de Naldwic, Henricus de Wort",
1130011,1248-04-30,"Naaldwijk, van",Hendrik van Voorne vergunt zijn bloedverwant Hugo van Naaldwijk dat zijn lenen op zijn kinderen zullen versterven,v.d. Bergh I no 456,,
1130012,1250-01,"Naaldwijk, van","Hendrik van Voorne schenkt aan Jacob van Pernis de stalen te Mathenesse en in de Merwede vanaf de haven van Pernis tot aan Schoonrelo, in erf[acjt",v.d. Bergh I no 501,"zegels van zijn broers Hugo, Theodericus en Aelbertus, Hugo van Naaldwijk en Willem van Brederode",
1130013,1250,"Naaldwijk, van","vermeld: Willem van Naaltwijk, met nageslacht: Boudewijn van Naaltwijk etc",Batavia Illustrata bl 1021,,
1130014,1253-05-30,"Naaldwijk, van","leen van de hofstede Hontshol [=Naaldwijk]: Velsen, het bos  Schoonhoven van heer Hugo van Naaldwijk, ridder en een weiland genaamd Made, dat Walewijn en de weduwe van Wouter Tatic van heer Hugo in pacht hadden in Velserbroek, groot 6 maden, beleend: Willem uten Hage (actum Haarlem)",De Fremery no 120,,
1130015,1255-04-29,"Naaldwijk, van","Hugo van Naaldwijk krijgt toestemming van graaf Willem om het ambacht van Velsen te verkopen aan heer Willem van Brederode, onder voorbehoud dat de graaf het evt zelf zou kunnen kopen",v.d. Bergh I no 607,,
1130016,1256-10-15,"Naaldwijk, van",belofte om de vrede tussen Holland en Vlaanderen te onderhouden: o.a. Hugo de Naldwic,v.d. Bergh II no 13,,
1130017,1257-08-21,"Naaldwijk, van","heer Hugo van Naaldwijc betaalt aan heer Henric van Voorne 800 £ voor de koop van bona de Hontsele [Honselaarsdijk]; 1257-04-06:  Henric van Voorne beleent zijn bloedverwant Hugo van Naaldwijk met Huntsele (Honselaarsdijk), goederen tussen Monster en de Lyre en goederen tussen ""capellaniam de Wateringen"" en Maasland gelegen (1258-03-22: idem)","v.d. Bergh II no 33, 39",bezegeld door zijn broers heer Dirk en heer Albert [van Voorne],
1130018,1261-05-01,"Naaldwijk, van","Albert heer van Voorne beleent zijn bloedverwant heer Hugo van Naaldwijk met bona omnia de Hontsele, met toestemming van zijn broer Florentius",v.d. Bergh II no 72,,
1130019,1261-11-18,"Naaldwijk, van","Willem van Steenhuysen verkoopt de tienden van Poelgeest aan de abdij Egmond, en koopt een curtis in Suesna [Zuilen]",De Fremery no 139,"borgen: Symon de Hairlem, Johannes Persyn, Hugo de Naeldwijk, Theodericus de Poelgheest, milites",
1130020,1261,"Naaldwijk, van","Machteld, gravin weduwe van Holland, schenkt aan haar dochter Margaretha, gravin van Hennenberg, al haar land te Maasland en een hoeve te Koudewerve",v.d. Bergh II no 82,"testes: Theodericus de Thiezelinchem, Arnoldus de Heymskerke, Hugo de Naeldwijc, Arnoldus de Wassenaer, Theodericus de Raporst, cum scabinis de Mazelant",
1130021,1263-11-18,"Naaldwijk, van","Lubbert, abt van Egmond, verleent aan  Symon de Harlem landerijen tussen Limmen en Heilo, als hij zoonloos overlijdt te komen op zijn broer Wouter en daarna op zijn broer Willem, en als deze zoonloos overlijdt op Wilhelmus van Egmond, zoon van zijn zuster Beatrix  ",v.d. Bergh II no 106,"borgen: Theodericus de Teylinge, Johannes Persyn, Hugo de Naaldwijk, Jacobus de Woude, Gerardus de Wateringen, milites; Wilhelmus de Ekmonde",
1130022,1285-01-05,"Naaldwijk, van","vidimus waarin Henricus de Naeldwyc oorkondt dat Bartholomeus zoon van Bartholomeus de Zande, clericus, 17 jugera, waarvan 4 gelegen in Volcarscamp, sub officio Gerardi de Weteringe en 4 in officio Florentii de Wort [van der Woert] in Naldewicbroec [in de Broekpolder] van hem in leen hield, en nu schenkt aan het hospitaal van St Jan en St Catharina in Utrecht",De Fremery no 229,"in Weteringhe: judex Theodericus Uterfoert, Philippus de Hoeck[ v.d. Wateringen], Wilhelmus … [?] de Loesdunen; in Naldwic: in officio Flo… de Woert, judex et conjurati Heynemannus, Piet…  Borghardus, Theodericus Haasart, Johannes Oude …, Wilhelmus filius Johannis Bolle, Nicholaus Flexc...., Nicholaus de Clee; zegel van Henricus de Scaldwic",
1130023,1287-11-02,"Naaldwijk, van",Hendrik van Naaldwijk belooft graaf Floris V schadeloos te houden wegens 120 £ Holl voor hem aan de lombarden te Delft betaald,v.d. Bergh II no 624,,
1130024,1289-02-23,"Naaldwijk, van","Catharina vrouwe van Voorne bekrachtigt de belening van het ambacht Over-Sliedrecht door haar minderjarige zoon Gerard, aan Hendrik heer van de Lecke gedaan, in tegenwoordigheid van de graaf",De Fremery no 255,"leenmannen van Voorne: heer Heynric van Naeldwijc (ook 1289-11-10), Diederic van Vorne en Costijn Heynric Hoeftsz",
1130025,1290-02-23,"Naaldwijk, van","Gerard erfgenaam van Voorne geeft het ambacht dat ligt over Sliedracht bij Niemandsvriend in leen aan de heer van de Leck, bekrachtigd door graaf Floris",v.d. Bergh II no 689,"de vrouwe van Voorne, moeder van Gerard, heer Heynrik van Naeldwyc, Diederik van Vorne, Costyn Heinric Hoeftsz, des kintsmanne",
1130026,1290-06-12,"Naaldwijk, van",borg voor graaf Floris V: o.a. Henric van Aeldvic (idem 1290-05-22),De Fremery no 267,,
1130027,1296-01-08,"Naaldwijk, van","getuige voor graaf Floris V: Henry sire de Heldwit (Naldwik, zegel: een leeuw)",v.d. Bergh II no 926,,
1130028,"1296, 1305","Naaldwijk, van","Boudewijn van Naaltwijk, ridder, kastelein op het slot te Wydenes in West-Friesland, ""ende daarop belegert van de Vriesen, zodat hij t uyt noot overgeven moste, anno 1296""; 1337: Willem heer van Naaldwijk, ridder; 1377: Willem heer van Naaldwijk, ridder, maarschalk van Holland","S van Leeuwen: Batavia Illustrata bl 1021, 742 no 75, 76, 77, bl 744 no 80",,
1130029,1297-05-04,"Naaldwijk, van","graaf Jan I bepaalt de lijftocht voor zijn vrouw; onder de zegelaars: Henricus van Naeltwic, ridder",v.d. Bergh II no 999,,
1130030,1297-07-18,"Naaldwijk, van","graaf Jan oorkondt over land in het ambacht van Monster, belend noord: het klooster van der Lee, west: Wendekynsslote, zuid: de Stekelcamp, oost: de weg met de sloot; - een weer op aan Loesduynre lane, belend noord: het klooster, zuid: land dat was van Henric van Naeltwic, dat hij in leen had van Jan Splinter, die het verkocht heeft aan het klooster van der Lee; deze Jan heeft daarvoor opgedragen 11 morgen land in Oudenborghermade, die van het klooster waren, en waarin de woning ligt die van heer Vranken was,  1 ½ morgen noordwaarts van het land van de jvr van Voorne, en deze 13 ½ morgen worden ""ghepriset ende gescattucht bi den scepen van Moenster""",v.d. Bergh II no 1006,,
1130031,1305-08-11,"Naaldwijk, van","getuige: Willem van Naeldwyck [akte onjuist gedateerd, moet van later zijn]",Van Mieris II p 48,,
1130032,1307-12-13,"Naaldwijk, van","Wilhelmus de Naelwijck, miles, verus collator ecclesiae ibidem, stelt een vergadering van 6 kanunniken in ter ere van de heilige Adriaan, patroon van de kerk, met bevestiging van bisschop Guy van Utrecht","Van Mieris II p 69, 70",,
1130033,1309-06-16,"Naaldwijk, van",uitspraak door de heer van Putten en de heer van Naeldwijk tussen de jvr van der Woert en haar zoon Willem,Reg Hann p 30,,
1130034,1310-05-30,"Naaldwijk, van","heer Willem van Naaldwijk, ridder, pacht het goed ten Poel te Naaldwijk, van de kapel van de Mariakerk te Utrecht, waarover onenigheid was met de kapellaan; de bisschop en graaf Willem doen uitspraak hierover; heer Willem van Naaldwijk moet 20 £ Holl pacht betalen aan de kapellen",Van Mieris II bl 104/Cartul Marienweerd p 48/v.d. Bergh I no 177,"bezegeld door Niclays heer van Putte, neef van Willem van Naaldwijk",
1130035,1317-02-21 (1316),"Naaldwijk, van","de heer en vrouwe van Putten verpanden al hun erfgoederen in Holland en Zeeland aan graaf Willem, die beloofd had die edelen schadeloos te houden die voor hun borg waren gebleven voor een bedrag van 550 £  Holl geleend van de lombard van Schiedam; borg o.a. Willem van Naeltwijck","Van Mieris II p 168, 169",,
1130036,1321-10-28,"Naaldwijk, van","Jacob van Moordrecht x vrouw Alyde van Naeldwijc, dochter Lizebet, die zijn in leen gehouden goederen zal krijgen",Reg Rotterdam en Schieland no 289/Van Mieris II p 266,,
1130037,1322-08-12,"Naaldwijk, van","jvr Sophie Boudijnsdochter van Naaldwijk, gehuwd met Jan Coppaerdsz van Scipleyde, krijgt als lijftocht 10 morgen land te Schipluiden, gelegen naast dat van Floris van Hodenpijl",Bijdr Vad Gesch 4e reeks deel X p 319/Reg EL 2 fol 25,,
1130038,1325-02-22,"Naaldwijk, van","bevestiging van de lijftocht van een vierde deel van de ""Cleythiende"" in Naaldwijkerparochie en het land ""de 25 Morgen"" in Monster door heer Willem van Naaldwijk, ridder, maarschalk van Holland, gemaakt aan zijn vrouw Liesbet heer Niclaesdochter van Egmond",Reg Hannp 137,,
1130039,1325-03-03,"Naaldwijk, van","heer Willem van Naaldwijk, ridder, verkoopt 20 £ rente op de tol te Geervliet",Reg Hann p 138,,
1130040,1325-09-04,"Naaldwijk, van","heer Willem van Naaldwijk, ridder, krijgt verlof om 20 morgen uit 65 morgen op de Harnasse achter Delft ten vrijen eigen te verkopen; zijn vader heer Heynric van Naaldwijk behuwde dit land met de dochter van de heer van de Lecke",Reg Hann p 143,,
1130041,1326-10-25,"Naaldwijk, van","Elizabeth van Naaldwijk maakt haar testament voor heer Johannes de Yboxdorp, officiano ecclesium de Heemskerk, de X solidis",Bijdr Bisdom Haarlem jg 1914 p 75/Cartul Egmundense,,
