id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1190001,1393-04-16,Tactgen,"Claes Jan Tactgensz draagt op aan Aelbrecht Poelmansz en zijn zuster Beatrix, een huis en erf op het Heiligland te Haarlem",Inv Arch Haarlem p 179/Arch Grote Gasthuis,,
1190002,1405-02-07,Tactgen,"graaf Willem oorkondt een dading wegens de moord te Haarlem gepleegd op o.a. Jacob Claes Tattgensz, Symon van Zaenden, Jan van Zaenden, Willem van den Woude en zijn zoon Simon",Rechtspraak graaf van Holland II p 199,,
1190003,1405-02-11,Tactgen,"de graaf verzoent zich wegens het gebeurde binnen Haarlem met Jan Claes Taetgensz, tegen betaling van 10 nobels",Rechtspraak graaf van Holland II p 203,,
1190004,1406-02-14,Tactgen,"de zoengelden voor de doden en gekwetsten binnen Haarlem: - de dood van Jacob Claes Tactgensz 600 £, daarvan krijgen de magen 400 £, te betalen door Bruyntgen van der Werve, Dirc Geryt Louwenz, Heynric Delianen man, ieder 200£; - van Tacxgens dood kost de zoen 300 £, de magen krijgen daarvan 200 £ ",Rechtspraak graaf van Holland II p 207 ev,,
1190005,1407-02-12>,Tactgen,"dezen uit Haarlem verblijven de uitspraak aan de hertog: o.a. Jan Claes Tactgensz, Jan Baerntsz Taxgensneve",Rechtspraak graaf van Holland II p 228,,
1190006,1482-08-15,Taeijster,"Huych Taeyster en Adriaen Jansz leggen een verklaring af over pacht van het land  [te Wateringen ?] door hen gepacht van de abdij Leeuwenhorst; al deze verklaringen worden afgelegd ten huize van Jan Coppaertsz, ten overstaan van Jan Tydemansz en Henric Jansz; idem: Adriaen Hermansz, Aernt Symonsz in t Honterland; Philips Jacobsz, op t Wout; Claes Willemsz en Dirc Willemsz; Coert Claesz, Dirck Jansz Deijm, Dirc Maartsz, Dirc Philipsz, Dirc Willemsz, Gerrit Hubrechtsz, Jacob Coppertsz; Adriaen Jacobsz samen met Jacob Dircsz, Jan Jacob Pauwelsz, Jan Dircsz, Jan Gerritsz",Ons Voorgeslacht 05-1991 no 416 regest 196,,
1190007,1297-01-08,Thade,burger van Haarlem o.a. Willem zoon van Henricus Taden,v.d. Bergh II no 975,,
1190008,1598-04-15,Taij,"losrenten kantoor Monickendam: verschijndag 04-19, Jan Jacobsz voor Simon Taij, fl 100 - fl 4, afgelost 1758-01-25",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1190009,1316,Taelman,ontvangen van hofstedehuur binnen Delf op het Marctveld: Arnoud Talmans neve 6d en 18 sc,Rek Hen Huis I p 35,,
1190010,1334,Taelman,"in Pinackerambacht, in Vlieland: Cop Talmansz 4sc 4d 4 oct 10 tual",Rek Rentmeester Noordholland p 195,,
1190011,1470-1471,Taelman,"Jacob Gerytsz zoon van Geryt Jansz taellman, wonende in den Hage, ontvangt 66 rijders als ⅓ van 200 ryders die wijlen Pieter Willemsz in 1446 aan wijlen hertog Philips leende op het schoutambacht van Westzanen  en Crommeny; deze Pieter deed de brief over aaan nu wijlen JAcob MAtheusz, van wie de brief vererfde op de dochter van zijn broer, gehuwd met Jacob Gherytsz",Rek Rentmeester Kennemerland 892 fol 30,,
1190012,1539-04-01,Taelman,commissiebrief waarbij Marck Taelman aangesteld wordt tot baljuw van Goes,"Grote Raad Mechelen Beroepen Holland dl I dossier 52, 52/3 sub d",,
1190013,1541,Taelman,Marck Taelman gecommitteerde van de tollenaar van Arnemuiden ,Grote Raad Mechelen E.A. Dossiers dl III dossier 2766,,
1190014,1642-12-18,Taanman,"losrenten kantoor Enkhuizen: verschijndag 01-10, Pieter Olphertsz Taanman, fl 800 - fl 32",Arch. Gecomm Raden Noorderquartier Inv 51,,
1190015,1638-06-11,Taanman,"losrenten kantoor Enkhuizen: verschijndag 06-22, Pieter Gerritsz Taanman, fl 800 - fl 32",Arch. Gecomm Raden Noorderquartier Inv 51,,
1190016,1375-1376,Taerlinc,"Willem Taerlinc: van 6 roeden dijk te maken in het Nuwelant, 10 £ 6sc (819 fol 14); 1384-1385: (826 fol 1v) afterstal van Vronen, de vrouw van Willem Taerlinx 5 £ 8sc 4d; (fol 29) afterstal van Vroenen vrouw van Willem Taerlinx 4 £ 11sc 3d; 1385-1386: (827 fol 32) 23sc; 1383: 9824 fol 13) idem afterstal van 1382 3£ 7sc 7d",Rek Rentmeester Kennemerland  ,,
1190017,1422-1423,Taerlinc,"Rissent Willem Taerlincs zuster: afterstal van Vroonland 11sc 9d (852 fol 10); (fol 10v) Willem Taerlinc, afterstal van idem van 1419 en 1420, 2 £ 10 sc 6d; Garbrant Gheije voor Willem Taerlinc 4 £ 17sc",Rek Rentmeester Kennemerland  ,,
1190018,1320-04-30,Taets,"leen van Amstel: leen te Obburen 1) ½ hoeve met woning en een hoeve boven de hoeve van St Katherinen, 2) 6 morgen daarbij, 3) 11 morgen, gelegen op het Velt te Opburen, 4) 5 morgen de Langacker geheten, beleend Willem heer Everaerdsz, tekomen op oudste zoon of dochter bij zijn vrouw Margriete, die als lijftocht ontvangt: 1) en 2); zijn broer Gheryt Taedsen ontvangt: 3) als lijftocht voor zijn vrouw Hildegonde; Henric de Jonghe wordt beleend met 4)",A.R.A. Leenkamer 1 Copie fol 5v/Amstelland/El 6 fol 2v,,
1190019,1327-08-05/06,Taets,"Alard van Haeften verkoopt enige renten aan Marienweerd: o.a. 5 sol ex area Henrici Taetsken in Bomel, tegenover de molen van Alard, tussen Godefridus ex Insula [uten Weerde] en het dorp",Cartul Marienweerd no 283,,
