nummer,datum,inhoud,folio nr,register nr,vervolg nr,bron,bijzonderheden,,
9000001,1485-03,"Jacob Joestendochter met Jacob Claes [rest weg] vercoopt aan mr Jan van Velzen een ….. [rest weg], erve ende geboemte [buiten] St Janspoorte, zuid: der stede cingel, west: Pieter Ritant, noord: Bruyninck van Boschuysen, oost: Melis Pa…. [Pauw ?]. Mr Jan, met Dirck Claes als voogd, belooft haar haar leven lang ieder jaar 2 R gld te betalen, met ingang van 1 mei 1486      ",1,1484-1486,vóór I,G.A. Haarlem Transportregister B Inv F 349 ,,,
9000002,1485-03,Symon Aerntsz sceepmaker erkent schuldig te zijn aan Jo Jane Symoen [?] de jonge 40 gld  ,1,1484-1486,vóór I,G.A. Haarlem Transportregister B Inv F 349 ,,,
9000003,1485-03,"Aecht mr Dirc Zybrantsz de barbier weduwe, met haar broer Allart Woutersz als voogd, en Sijmon Dircsz lepelaer als voogd van Zybrant Dircszoon, der voors. Aechte zoon, aan Dirck Claesz van Scoerl een huis en erve liggende op d'oude graft, an d'een zide: Neel coman Loue [?] weduwe, an d'ander zide: de steghe an Dode [?] zijde, afterwaerts streckende an Neel voors. Item een boomgaart met geboomte gelegen over de voors. stege. Alles zoals wylen haar man van Claes van der Meer gekocht had                      ",1,1484-1486,vóór I,G.A. Haarlem Transportregister B Inv F 349 ,,,
9000004,1485-03,"Aelbrecht Vrericxz en zijn wyf Griete Gysbrechtsdochter, maken Arys, Frans en Gysbrecht he ze [heuren zone ?] drie kinderen, ende Frans en Dirk Gysbrecht he ze [heuren zone ?] kinderen intasten in heure goeden met eenre hant              ",1v,1484-1486,vóór I,G.A. Haarlem Transportregister B Inv F 349,,,
9000005,1485-03-21,"Jan Dircsz van Alckmaer schuldig Nanning Ockersz, poorter van Haarlem, 60 R gld en 15 st. Onderpand: het Rynschip dat hij van hem gecoft heeft. Testes: Henrick van der Huel, Warnaer Baerntsz. Verleden 21 Maert 1485     ",1v,1484-1486,vóór I,G.A. Haarlem Transportregister B Inv F 349,,,
9000006,1485-03,"Floris Claesz verkoopt aan Dirc Jordensz ½ van een huis en erf in de Corte Begynestraat, an d'een zide: Jan Aelbrechtsz, an d'ander zide: Zyburch Jan Dircsz weduwe, afterwaerts streckende an de selve weduwe     ",1v,1484-1486,"vóór I, I",G.A. Haarlem Transportregister B Inv F 349,,,
9000007,1485-03,"Floris Claesz voors. verkoopt aan Dirc Jansz ½ van een huis en erf op oude Haerlem, daerof de voors. Dirc de wederhelft reeds toebehoort, an d'een zyde: Adriaen Walichsz, an d'ander zyde: Ruyvens toren, afterwaerts streckende an Dirc Jansz voors.              ",1v,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000008,1485-03,"Griet Jan Claesz weduwe met haar zoon en voogd Dirc Jansz t Groot, lijt van Katrijn, haar dochter wegen, schuldig te zyn aan Florys Claesz en Dirc Jansz tesamen 23½ R gld ",2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000009,1485-03,"Sybrant Dircsz metselaer schuldig aan St Anna convent 1 nobel van 40 st, te betalen Mei 1485",2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000010,1485-03,"Willem Govertsz schuldig aan gasthuismeesters van St Lysbeth 15 £, van 15 st t pond    ",2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000011,1485-03,Pouwels Jansz metselaer vercoopt aan het convent van St Anna een huis en erf in de Scutterdoelstraat aan alle zyden belend door het convent van St Anna,2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000012,1485-03,Jacob Dircsz schuldig aan Pouwels Aerntsz van Noyen [?] 7½ R gld ,2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000013,1485-03-24,"Dirck Willemsz Fenije schuldig aan Martyn Cornelisz, van Middelburch 41 R gld. Verleden 24 Maart 1485 ",2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000014,1485-03,"Lysbeth Jan Woutersz weduwe met haar zwager Dirc Dammasz als voogd, verkoopt aan Claes Outgersz haar rechten en brieven die zij heeft op Jan Dircsz draijer en zijn goederen      ",2,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000015,1485-03,Pouwels Jansz en Claes Lambrechtsz als borgen voor Joost Lambrechtsz die 22 R gld schuldig is aan Lambrecht Geritz   ,2v,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000016,1485-03,"Dirc Gerijtsz verkoopt aan Jan Gysbrechtsz een brief bezegelt door Dirc Matheeusz, schout van Aelsmaer, inhoudende 1 nobel op een stuk lands aldaar groot 8 maden     ",2v,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000017,1485-03,"Jan van Schoten, sceepmaker, verkoopt Willem Henricsz een boomgaert mitten huysingen en geboomte buiten St Janspoort, an d'een zijde: Jan Dircsz, an d'ander zijde: Katryn Wiilem Claesz weduwe, streckende voor van de heerstraat after an coman Jan Outgersz        ",2v,1484-1486,I,G.A. Haarlem Transportregister B Inv F 349,,,
9000018,1485-03,"Griet Thomas Potgens weduwe met Claes Garbrantsz als voogd aan Jacob de huefslager een huis en erf in Sint Cornelisstege, an d'een zyde: de Heilige Geest, an d'ander zyde: Henric Outgersz, afterwaerts streckende an Lysbet Jan Witten weduwe         ",2v,1484-1486,II,G.A. Haarlem Transportregister B Inv F 349,,,
9000019,1485-03,"Geryt Dircsz aan Gysbrecht Michielsz een huis en erf in de Geerstrate, an d'een zyde: Belije van Dort, an d'ander zyde: Gysbrecht voirs, after streckende an Claes Rombout      ",3,1484-1486,II,G.A. Haarlem Transportregister B Inv F 349,,,
9000020,1485-03,Griet Claes Mairtsz weduwe  met haar zoon en voogd Mertyn Claesz schuldig aan Nelle Gerijt van Zijlen weduwe 74 ¾ nobelen   ,3,1484-1486,II,G.A. Haarlem Transportregister B Inv F 349,,,
