id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1050001,1626-01-07,Ebels,"losrenten kantoor Medemblik: verschijndag 01: Cornelis Claesz Ebels fl 400 - fl 16, afgelost 20-12-1764. 1628-04/05-26: Cornelis Claesz Ebels fl 1000 - fl 40",Arch. Gecomm Raden Noorderquartier Inv 51,,
1050002,1178-04-09,"Echteld, van",testament van bisschop Godfried met lijst van testes liberi en ministeriales,Oorkondenboek Sticht Utrecht no 499,"Rudolfus de Gore advocatus S Martini, Wilhelmus Luscus comes, Gerlagus frater meus, Rudolfus advocatus de Echtelte, Hubertus de Echtelte, Wilhelmus de Alborch, Noiel de Eggerhove, Thomas de Berenchem, Helias de A, Albero de Amerungen, Gozwinus nepos suus, Alardus Aries, Wilhelmus de Dwerdeike, Reinerus de Dolre et Hugo frater suus, Reinerus et Amelricus filius suus, Giselbertus dispensator meus, Otto capellarius, Godescalcus camerarius, Stemarus et Gunterus fillius suus, Robertus de Orde, Gerhardus de Ecke",
1050003,1547,"Echteld, van","G. van Baexen en zijn vrouw Peter van Echteld doivent 2000 Cour de France La dame survivant se son mari les remboursera, sur oes brens sis entre le Meuse et le Wahal etc",De Raadt I p 194,,
1050004,1560,"Echteld, van","Th van Malburch, zoon van Otho en Peter van Echtelt, fait un accord avec les héritiers de Gauthier van Baexen, mari de sa dite mère.  A la mort de ces époux, il aura e.a. la propriété de la maison qu'il habite á Zaltbommel (contrat de mariage de 1541)",De Raadt II p 408,,
1050005,1500~1600,"Echten, van ","genoemd: Reinier van Egten, dochter Agnes van Egten x Reinier Schaep, kapitein","Batavia Illustrata bl 1080, 1079",,
1050006,1206-1226,"Echtrop, van","Lubbert, abt van Egmond, verruilt land te Ekthorp en Schoorl met dat van Willem van Ekthorp en zijn vrouw Aldwi, gelegen onder Assendelft","Bijdr Hist Gen 1914 bl 38, 39/v.d.Bergh I no 377","Ysbrandus de Haerlem, Theodericus de Alsmar [Alkmer], Isbrandus de Hecmund, Alardus et Florentius fraters eius, Nicolaus et Nicolaus, fratres, filii Nicholai de Heylichloe, Wilhelmus de Ovo, Ysbrandus Loef; Isbrandus presbyter, Gregorius, Heinricus, Wilhelmus, Walterus, Isbrandus, Igerus et alii fratres nostrae congregationis; sacerdotes: Bartholomeus de Berghen, Ambrosius de Scoorle",Assendelft
1050007,1410~,"Eck, van","leenregister Culemborg: -  Jan van Ecke Herdberensz 7 morgen in Pelmate, belend boven: Ot van Derthesen, beneden: Henric van Mauderic; - Borre (later: Deenken) van Eck een tiende te Eck, de gifte van de kerken van Eck en Mauderic en 10 morgen te Ecke,"" mer van den 10 mergen en weet ick waer niet wael af hoe hij die houdt""; - Geryt de Monic Henrics Monicsz 9 morgen tot Mauderic in die Oude Weyden, belend boven: Jan van Ecke Willemsz, beneden: Geryt uten Weerde; -  Jan van Ecke Willemsz 15 morgen te Mauderic en Jan van Ecke Herberensz 7 morgen. Heymeric Roelantsz 3½ morgen op Hornincsvelt, die Jan Willemsz placht te houden; -  Wouter bastaard van Culemborg, 5 morgen in die maelscap van Eck, die gelegen zijn die Rynacker en die Tuderweijde, belend boven: Roelof Lamphollenz, beneden: die Ynghensen weg, en dit erf gaf Jan van Eck Herberensz over tbv van voornoemde Wouter; - jvr Lysbet Jansdochter van Ecke 6 morgen tot Eck op de nedersten hul, belend boven: Jan van Eck, beneden: die Mauderickse wetering, haar vader Jan van Eck doet hulde; later: - Deuken van Ecke Lamphollenz  6 morgen land tot Ecke op de nederste Hulle, belend boven: Dierck van Thuenen, beneden die Mauderikse wetering. Nog later: - Deuken heeft dit leen ontvangen","Leenregister Culemborg fol 13, 13v, 14v, 22v, 36v, 38",manne: Alaert van de Wael en Jan van Eck Woltersz,
1050008,1410~,"Eck, van","leenregister Culemborg: - Deuken van Eck dat Deuken van Eck Aelbrechtsz opgedragen heeft 4 hont geheten Petershof gelegen Ott Eck met de ene zijde aan de gemene strate en aan de andere zijde aan Deuken van Ecke Deukensz; - Aelbert van Ecke 4 hont geheten Petershof tot Ecke, belend de gemene straat en Aelbert van Eck (dit erve heeft Deuken van Ecke Deukensz); - Lampholle van Ecke omtrent 4 ½  morgen, belend boven: Lampholle Dyercksz (later: Reyner zelf), beneden: Jacob van Scerpenborch (later: Roelof van der Eme); - Johan van Eck Woltersz 6 morgen gelegen op Goetbertingervelt, belend boven: Willem Spierinc Jacobsz, beneden: Sander de Monick en 7 hont op hetzelfde veld, belend boven: Dierck die Man en beneden Otte van Heukelem; - Johan de tiende van Wolfsland en de tiende daarboven gelegen die Hubert van Lopick kocht van Gysbert van Schalckwijck, tussen de Diefdijck en Pariser tiend en heer Geryt van Veen, proost te Arnhem van de heer van Culemborg hield","Leenregister Culemborg fol 38, 59, 60, 63v",,
1050009,1410~,"Eck, van","leenregister Culemborg: - Otte van Wyck Ottenz een akker land in de maalschap van Rijswijck mit Wyfsdycxvelt, van de Wyfdijck tot aan de Broecsteeg, belend boven: Geryt van Wyck Ottenz, beneden: Jorden Doijs. Na Ottens dood te komen op zijn zoon Jan (eerst zoon Willem, doorgehaald) bij Hadewich Dircxdochter van Ecke. Mannen: Jan van Eck Woutersz, Wouter van Overrijn. - Jacop Coppier Willem Spierincsz dat Willem opgedragen heeft 4 morgen te Goedbertingen, van de wetering in de Lecke, belend boven: Willem van der Lochte en Jacob Crafte met leen van Vianen, beneden: Johan van Eck Woltersz met leen van Culenborg; - Johan van Eck Dircxz een huijsmate tot Mauderic, 8 hont, belend boven: Gerefaes van der Wade, beneden: jhr Peter van Culenborg; - 2½  morgen int Nijslach geheten die Gheren, belend zuid: Claes Ottenz en een altaar in de kerk van Eck, noord: die gemeyne Huetgrave. (dit land heeft Jo van Eck Derexz opgedragen ende die Huesmate van 8 hont land ontvangen jvr Belije, zijn zuster, en die 3 morgen heeft ontvangen Otte Claesz);  - Reyner Reijnersz 4½  morgen dat Lampholle van Ecke opgedragen heeft, belend boven: Reyner Reynersz met 8 hont land, beneden: Roelof van der Eme. De tijns van Culemborg tot Mauderick: Deeuken van Eck van sinen goede 48d","Leenregister Culemborg fol 64v, 72v, 80, 75, 110",,
1050010,1418-08-25,"Eck, van",leenregister Culemborg (1410~): mannen: Jan van Eck Woltersz en Willem Zuermont,Leenregister Culemborg fol 11v,,
