id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,
1060001,1278-01-10,Faber,"Lupertus Faber en Paulus Sutor, schepenen van Heusden, zegel van Faber: een hoefijzer. 1281-04-03, 1282-07-20, 1282-09-04: idem","De Fremery no 198, 211, 214, 216",,,,
1060002,1284-08-11,Faber,"Lupertus Faber en Paulus Sutor, schepenen van Heusden oorkonden dat Jan Rumscotele en zijn vrouw Jutta 7 hond bouwland, genaamd de Oislaghe, aan de abdij Bern geschonken hebben",De Fremery no 223,,,,
1060003,1303-03-09,Faber,"Gerardus dictus Acrijn, Jacobus Holecop, Nicholaus Pistor, Theodericus Faber, schepenen in Ameida",Cartul Marienweerd no 118,,,,
1060004,1318-06-29,Faber,"Hubertus Faber, Johannes dictus Oestram, schepenen in Culenborch",Cartul Marienweerd no 189,,,,
1060005,1326-11-06,Faber,"voor Arnoldus dictus Lauwart en Brustenus Faber, schepenen in Gravia, pachten Danekinus de Mylla en zijn vrouw Metta van de abdij voor hun leven ""mansionem quandam in Milla"", bij de parochiekerk aldaar",Cartul Marienweerd no 272,,,,
1060006,1319-02-01,Faber,"Johannes zoon van Riquinus de Enspijk verkoopt aan Godefridus Faber de Bomel tbv Aelbertus dictus Audscalc, soceri sui, voor 60 £ een halve camp groot 11 morgen in Eynspijc, tussen communem vicum en Marienweerd en Hubertus Koecboen; en ontvangt genoemd land wederom in erfhuur voor 4 £, onder boetebeding bij wanbetaling",Cartul Marienweerd no 197,,,,
1060007,1325-03-29,Faber,"Godefridus Faber verkoopt voor 60 £,  2 stukken land en een huis waar Henricus de Werva in woont, gelegen in Bomel, tussen Egidius Malicke en Gerardus Audhaes, generum Gerardus Loye",Cartul Marienweerd no 254,schepenen in Zaltbommel: Goswinus de Werva en Johannes Voecht ,,,
1060008,1325-05-20,Faber,"schepenen van Zaltbommel oorkonden dat Gerardus zoon van Huberto dicti Lewe heeft verkocht aan de abdij Marienweerd, een halve camp inhoudende 11 jugera in Eynspijc, tussen Marienweerd en Hubertus Koecboen. Henricus, Albertus, Sanderus, zoons van Albertus Audscalc, Johannes uten Beemden met zijn vrouw Aleyde en Godefridus Faber met zijn vrouw Helwige doen afstand. 1319-05-20: was dit land verkocht aan Godefridus Faber tbv Alberti Audscalc, soceri sui",Cartul Marienweerd no 256,borgen: Hubertus Lewe en Godefridus Faber,,,
1060009,1326-10-27,Faber,"schepenen van Zaltbommel oorkonden dat Hilla en haar man Reynold zoon van Everardus de Werdinghen  voor 10 £ hebben verkocht aan Godefridus Faber, land in Bomel in loco dicto Insula; haar zoon Theodericus doet afstand; 1315-10-05 was dit goed verkocht aan Mathias Kriekenbeke door Sizarius uten Weerd",Cartul Marienweerd no 271,,,,
1060010,1327-07-28,Faber,"voor schepenen van Zaltbommel erkennen enige personen erfelijke jaarcijnzen aan Conrardus Rode schuldig te zijn, vanweg land in Bomel tussen vicum renum en Petrus zoon van Rutgher: Johannes Winter, Nicolaus en zijn broer dictus Groetken, faber, Liza Mols, Aleydis Coenkens, Johannes Olislagher, Liza Potkens, 34 sol en 6 den",Cartul Marienweerd no 281,"schepenen in Santbomel: Philippus de Horwinen, Hubertus zoon van Johannis",,,
1060011,1327-10-07,Faber,"Everardus zoon van Elizabeth Phitonisse verkoopt aan de abdij Marienweerd een erftijns van 45 schild  ""ex area in qua Bertoldus, sutor, nunc temporis moratur in Bomel, sita inter Nicholaum pistorem, et communem plateam, que area ab anteriori suo fine ad Lambertum, fabrum,  extenditur""",Cartul Marienweerd no 290,,,,
1060012,1328-11-12,Faber,"voor Coenradus Rode en Wolterus Scaep, schepenen van Zaltbommel, verkopen Godefridus Faber, Henricus, Albertus en Sanderus Audscalc voor 20 £  aan Henricus dictus Sas, land in Eynspijc gelegen tussen domina Bele en Marienweerd, in allodio; doorgestoken brief no 225 d.d. 20-04-1322",Cartul Marienweerd no 320,,,,
1060013,1330-08-01,Faber,Lambertus zoon van Theodericus Boumans en Laurentius zoon van Henricus Hagaerts verkopen voor 30 £  aan de abdij  4 ½ hont en 2 virgatas land in Deyl in loco dicto Cortland,Cartul Marienweerd no 377,"borgen: Theodericus Bouman, de Eynspijc en Albertus Audscalc, zoon van Nicolas Faber",,,
1060014,1331-06-04,Faber,"Lambertus zoon van Albertus en Brustenus Faber, schepenen in Gravia",Cartul Marienweerd no 395,,,,
1060015,1334-02-28 (1333),Faber,"obligatiebrief van 10 schell grooten ten laste van de stad 's Hertogenbosch, tbv Godinus Faber",Dr. Hermans: Bijdr Gesch Noordbrabant II p 560/Orig Arch 's Hertogenbosch,,,,
1060016,1344-01-10,Faber,"voor Paulus Bart en Henricus Rode, schepenen in Santbomel, verkoopt Godefridus Faber voor 10 £ aan Henricus de Werva, tbv Marienweerd, de doorgestoken brieven no 164 (dd 1315-10-05) en 271 (1326-10-27), betreffende land in Bomel in loco dicto Insula, 1315-10-05 verkocht aan Mathias dictus Kriekenbeke",Cartul Marienweerd no 531,,,,
1060017,1350~,Faber,"goederenlijst Marienweerd: in Bomel: 4 £ census, Martini, uit 2 stukken land in quibus morantur Paulus Baert en Godefridus, faber",Goederenlijst Marienweerd ,,,,
1060018,1350~,Faber,"goederenlijst Marienweerd: in Roemde een stuk grond waar Hugho van Brakel woonde, tussen Hugho fabri en de erven van Johannis Puls",Goederenlijst Marienweerd ,,,,
1060019,1740,Faber,"Juriaan Faber, stierf 1740, notaris te Westzaandam ",Jongewaard bl 210,,,,
1060020,1550~1600,Fachet,Simon Fachet x … van Assendelft,Batavia Illustrata bl 855,,,,
1060021,1627-03-23,Fagel,"procesvolmacht, gegeven door Dirck Hem, koopman te Amsterdam, op een advocaat te Embden, om aldaar voor het gerecht en het Hof van Oostvriesland te procederen tegen Jacques Fagel, zoon van Alef Fagel, tot betaling van 121 gld 7st die Jacques hem over koop en levering van sijdelaeckenen schuldig is",Not Arch Amsterdam 394 fol 179/Notaris Nic Jacobs,,,,
