id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,,,,,
1120001,1607-09-04,Maelsom,"losrenten kantoor Enkhuizen: verschijndag 09-05, Pieter Fransz Maelsom, fl 700 - fl 28, afgelost dd 1761-12-28",Arch. Gecommiteerde Raden Noorderquartier Inv 51,,,,,,,,
1120002,1214,"Maelstede, van der","stamreeks Godfried heer van Assche, 1214: zoon Wouter van Assche etc, voerde het wapen van der Maelstede",Navorscher 1902 bl 519-521,,,,,,,,
1120003,1222-08-28,"Maelstede, van der",graaf Floris IV verklaart dat Wulfardus de Burgh en Thancardus de Welle zich voor hem verbonden hebben tot kwijting van hun schulden aan de kerk van Dunes,v.d. Bergh I no 278,"borgen: Wulfardus dominus de Maelsteda, Petrus de Scoude, Vanin filius Deinodi [Corthals], Arnoldus de Broka, Gerardus de Wemeldinga, Hugo cognomento Judaeus, Goparts filius Thankardi, Wulfardus de Burch, Thankardus nepos Thankardi, Merlinus Joslovar de Wale, Nicolaas filius Bubfels, Willasota Hugeman (Hugamam)",,,,,,,
1120004,1232-07,"Maelstede, van der","graaf Floris IV verklaart dat Arnulphus dictus Platevoet in tegenwoordigheid van heer Wulfardus de Malestede, al zijn land in Patauspolder aan de abdij ter Does geschonken heeft",v.d. Bergh I no 341,,,,,,,,
1120005,1243-08-17,"Maelstede, van der","getuige voor graaf Willem II: o.a. Wulfardus de Malsteda, ridder",v.d. Bergh I no 397,,,,,,,,
1120006,1246-05-21,"Maelstede, van der","Wolfard heer van Maelstede schenkt 25 gemeten land aan het klooster Jerusalem bij Bieselinge op Zuidbeveland, belend zuid: de weg van Bieselinge naar Vlake, noord: de weg van Maelstede naar Sparth, west: de weg van Maelstede naar Bieselinge, oost: de Molenvliet; genoemd: zijn zoon Gerardus",v.d. Bergh I no 420,zegel o.a. van Godefridus van Cruninge,,,,,,,
1120007,1248-07,"Maelstede, van der","Wolfardus van Malstede schenkt met toestemming van zijn zoon Gerard 15 gemeten tiende in Vroonland bij Capella in Zuidbeveland aan het klooster Jerusalem bij Bieselinge, evt in te nemen uit het land ""vern Aven dregt""",v.d. Bergh I no 462,,,,,,,,
1120008,1248-08-21,"Maelstede, van der",Wulfardus miles de Malstede en zijn zoon en erfgenaam Gerardus huldigen gravin Margaretha van Vlaanderen wegens de van haar gehouden lenen in Zeeland en beloven het verdrag van 1168 te handhaven; hiervoor verbindt hij het land dat hij bezit in Hulst en Chavetinghes,v.d. Bergh I no 470,,,,,,,,
1120009,1258-03-25,"Maelstede, van der~","Florentius, ruwaard van Holland, bevestigt de nonnen in Bieselinge in het bezit van de tiende die heer Wulfardus hun had geschonken",R.A. Antwerpen/Obreen: Oork Biezelinge p 99 no 1/Bijdr en Meded Hist Gen jg 50 p 193-237 en jg 33 p 96-114/Arch Gesch Jath Kerk in Ned 12e jg afl 1 regest 14,,,,,,,,
1120010,1264-05-03,"Maelstede, van der","Albertus van Vorne,  castellanus Zelandie beleent Willelmus de Maelstede en zijn broer Walterus met de goederen van wijlen hun vader Theodericus de Maelstede, ridder",Reg Voorne AB fol 62 en Voorne B fol 28/v.d. Bergh II no 111,,,,,,,,
1120011,1271-10-26,"Maelstede, van der",borg voor Pieter van Borsele oa: de broers Johannes en Gerardus de Maelstede,v.d. Bergh II no 224,,,,,,,,
1120012,1272-01,"Maelstede, van der","Imaine dame de Maelstede, veuve de Henri Berthout, fonda une chapellenie dans le monastère des religieuses victorines de Malines [Mechelen]",Navorscher 1902 bl 520/ Buthens Trophée II bl 137,,,,,,,,
1120013,1278-08-15,"Maelstede, van der","Hugo en Walter van Kruninghe, Jan van der Maelstede, ridders, Gerard van der Maelstede, Clais van Barsdorp, Boudin Dankardsz [van Stavenisse] beloven als borgen voor  heer Pieter van Borsselen te betalen aan Hendrik van der Lecke, 150 £  Eng met berekening van bedragen en termijnen",v.d. Bergh II no 368/de Raadt II p 399,,,,,,,,
1120014,1281-03-25,"Maelstede, van der","deken en kapittel van Oudmunster geven in erfpacht aan Boudyn zoon van Dankardus de Stavenesse ""tres mensuras quas habet ex paterna successione, et septem mensura decimarum, quas emit erga Gerardum de Maelstede et ejus uxorem in Stavenisse""; zie ook 1282-03-10","v.d. Bergh II no 418, 445",,,,,,,,
1120015,1283-03-29,"Maelstede, van der","Gerardus de Maelstede filius Gerardi filii domini Wulfardi milites, quondam domini de Maelstede, verkoopt aan de abdij ter Does zijn visserij te Cortewiffliet in het ambacht van Cattendijk ten westen van Wemeldinge en ten oosten van Cloetinge",De Fremery no 219,,,,,,,,
1120016,1287-02,"Maelstede, van der",getuige voor Johan van Brigdamme Paulus juniorsz: o.a. dominus Johannes de Maelstede,De Fremery no 245,,,,,,,,
1120017,1290-03,"Maelstede, van der","Jehans de la Malstede (no 4) belooft hulde en manschap aan graaf Guy van Vlaanderen; 1290-04-11: idem, no 3, Jehan de Maelstede; 1290-06-02: uitspraak over het geschil tussen de Zeeuwse edelen en graaf Floris V opgedagen aan graaf Guy, diens zoon Robert en hertog Jan van Brabant, no 5: Jan van der Maelstede, ridder; 1290-06-08: hertog Jan van Brabant belooft uitspraak te doen en noemt met name o.a. Jehan de la Malestede","v.d. Bergh II no 666, 695, 716, 718",,,,,,,,
