id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1150001,1437-10-02,Pael,"Herman Pael déclare avoir obtenus du duc de Brabant, pour lui, Gerard Pael, son frère, pour Jean Bernage et leurs compagnons, durant quize ans, l'autorisation om ""ut den Blaesberch ende andere bergen ende plaetsen binnen sijnen lande van Limbourg, blyeurtsz, calmeirtz, coperineirtz ende tineirtsz te mijnen""",De Raadt III p 91,,
1150002,1229-05-15,Paalvoet,"graaf Floris IV ruilt zijn harmannen en duinen van het westerdeel van Schouwen, uitgezonderd Burg en Haemstede, met heer Costijn voor diens goederen in Zierikzee, genoemd wordt de harman Henric Allard Paelvoetsz in hetzelfde deel van Schouwen",v.d. Bergh I no 314,,
1150003,1327-08-09,Paalvoet,"Conrardus Rode verkoopt voor 16 £ aan Marienweerd land in Bomel, belend tussen Wilhelmus Lantmeter junior en Rodolphus Paelvoet, de abdij geeft het weer in erfpacht voor 14 sol per jaar aan Evert Mol",Cartul Marienweerd no 287,,
1150004,1546~,Paen,"Jan Claesz Paen [misschien Paeu?], crediteur te Ooltgensplaats",Grote Raad Mechelen Beroepen Holland dl VII dossier 662,,
1150005,1513-12-09,"Paenderen, van","Claes van Paenderen en mr Barthout van Assendelft aanvaarden namens de weeskamer te Haarlem, de voogdij over de krankzinnige Gerrit van Alkemade; een ongedateerde brief uit Leiden van Henrick van Alkemade aan zijn zwager Claes van Pannerden [= Paenderen], bij wie hij erop aandringt, dat hij de erfrechten van Heinrics nicht Clemeyns Claesdochter zal beschermen tegen Philips van der Laen, eveneens bloedverwant van Gerrit van Alkemade; ook nog genoemd in een brief van 1514-12-02 van Henric, zijn nicht coman Tryn uit Haerlem",Grote Raad Mechelen Beroepen Holland dl III dossier 248/4 sub DD,,
1150006,1518-02,"Paenderen, van","Willem van Paenderen koopt van Daniel van Alphen 3 R gld per jaar pacht op een stuk weiland en geestland, samen groot 3 morgen in de ban van Asse, belend noord: Daniel van Alphen, zuidoost: de lietwech, west: de wildernis, zuid: Doe Claesz erfgenamen; onderpand: het land, losbaar met 48 R gld",Transportregister 76/13 fol 61,,
1150007,1522-10-31,"Paenderen, van","de stad Haarlem verkoopt aan Willem Diricsz van Paenderen een losrente van 30 sch gr Vls per jaar, ""met ondergaand die vleeschexys en de turfexcys en die reep en de ellenmate"" van de stad (vgl 1564-06-05)",Inv Arch Kerkvoogdij 186 fol 116/Cartul Zeven Getijden Haarlem ,,Haarlem
1150008,1564-06-05,"Paenderen, van","chepenen in Haarlem oorkonden dat Dirick van Heussen verklaarde getransporteerd te hebben aan de getijdemeesters in de parochiekerk te Haarlem, een jaarlijkse losrente van 30 sch gr Vls per jaar op de stad Haarlem, ten name van zijn grootvader van moederskant, Willem Dircsz van Paenderen (vgl 1522-10-31)",Inv Arch Kerkvoogdij 186/Cartul Zeven Getijden Haarlem  fol 17v,"Aernt Jansz en Philips Vermaet, schepenen",Haarlem
1150009,1613-04-27,"Paenderen, van","huwelijksgeboden van Jan d'Ase, van Gend, weduwnaar van Kryntgen van Paenderen, en Truijken Jansdochter, van Antwerpen, wonende op Korsgespad",G.A.Amsterdam DTB 763 fol 9v,,
1150010,1615-01-02,"Paenderen, van",van Paenderen,G.A.Amsterdam Not Arch 378 fol 3,,
1150011,1410~,"Paap, de","leenregister Culemborg: - Dirc Evertsz uter Hone 1 morgen te Pothusen, belend boven: Hubert Papen kinderen, beneden: Jacob Maesz",Leenregister Culemborg fol 46v,,
1150012,1360-08-26,"Paeschen, van","stierf Jacob gezegd van Paeschen, lekebroer, omgebracht in het jaar 1360, 5 £ gegeven en op het kerkhof der broeders begraven",Kroniek Egmond p 271,,
1150013,1313-08-24,Paesdag,proost en kapittel van de Dom te Utrecht verpachten hun land te Leiderdorp o.a. aan Alijd Wouter Paesdagh en haar zoon Hughe van Alfen,v.d. Bergh I no 379,,
1150014,1303,Paets,getuige nr 53 voor bisschop Guido van Utrecht [vals],Van Mieris II p 38,,
1150015,1316,Paets,"afterstal in Haghe ambacht, van landhuur op den Vene: Yeve Paedsen weduwe, 12d",Rek Hen Huis I p 80,,
