id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1170001,1398,"Raanbergen, van den",vermeld in een brief: Jan van den Raanbergen,Batavia Illustrata bl 1023,,
1170002,1642-05-08,Raemburg,"losrenten kantoor Enkhuizen: verschijndag 05-19, Jan Jacobsz Raemburgh, fl 400 - fl 16 en weesmeesters te Enkhuizen tbv Catharina Raemburgh, fl 600 - fl 24",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1170003,1220-02,"Raaphorst, van",getuige voor graaf Willem: Theodericus de Raphorst; 1226-01-26: idem; 1226: getuige voor Dirk van Wassenaer,"Bijdr Hist Gen 1913 dl 34 p 487; v.d. Bergh I no 294, 301",,
1170004,1227,"Raaphorst, van","Emece, abdis van Rijnsburg, verkoopt de tienden van Aloudgeest aan Dirk van Raephorst en beleent hem daarmee",v.d. Bergh I no 309,"getuigen: Florentius comes Hollandiae en zijn vrouw Machteldis, Wilhelmus de Teylinghe en zijn broer Theodericus, Theodericus de Wassenaer, Jacobus castellanus, Wilhelmus de Egmonde, Gherardus de Noortghe",
1170005,1261,"Raaphorst, van","Machteld, gravin weduwe van Holland, schenkt aan haar dochter Margaretha, gravin van Hennenberg, al haar land te Maasland en een hoeve te Koudewerve",v.d. Bergh II no 82,getuige o.a. Theodericus de Raporst,
1170006,1267,"Raaphorst, van","Clementia van Noordwijc vermaakt aan het hospitaal van St Jan, St Katarina en aan het Duitse huis land te Rijswijk, wat zij van Therodericus de Raphorst gekocht had, belend oost: Albert de Ockenberge, genaamd Svertendike, gelegen in Monsterambacht",De Geer: Arch Duitse Huis no 250,,
1170007,1269-11-02,"Raaphorst, van","graaf Floris geeeft het huis te Hildegerdberge, de Santwerf, het land tussen Berkvard en de santwerf, het ambacht en al het goed dat heer Vranke Stoep van Hildegardiberghe te leen houdt, aan zijn dochter Aleyde vrouw van Gerard van Raporst en haar kinderen; zijn er geen kinderen dan gaat de helft naar Vrankes dochter Margriete, vrouw van Deric van Hoylede en haar kinderen, de andere helft naar zijn kleindochter Hildegunde, dochter van Henrik van den Velde en haar kinderen",v.d. Bergh II no 190,,
1170008,1272-08-20~,"Raaphorst, van","omtrent deze tijd zijn Jacob van Wassenaer, Diederik van Raephorst, Werenboldus uten Hage en vele andere edelen door de West Friezen omgebracht; .…-11-18~: stierf Hildegarde, weduwe van Raephorst, die 2£ per jaar aan het klooster gegeven heeft","J van Leyden: Kroniek Egmond p 271, 280 Dagregister/Wijn: Necrologium p 135; v.d. Bergh I p 334",,
1170009,1282-11<,"Raaphorst, van","lenen ten tijde van Floris V: heer Kerstans van Raaphorst houdt in leen: - 5 £ ""bi den ouden achten deel"", - 20 morgen in Hillaremade, - 4 tiende op de Hernesse en 17 morgen daarbij, - 2 ½ morgen op de Gantele,  - 6 ½ morgen in Scheveningen en 36 morgen tussen veen en de veensloot, van het land van Ludolf tot Simon Preng, die hij van de heer van Wassenaar houdt, wanneer de graaf instemt","De Fremery no 228; Ons Voorgeslacht 01-1985 p 13, 18 no 46",,
1170010,1283,"Raaphorst, van",leen van Teylingen: no 49) heer Corstans van Raephorst houdt 100 morgen en 2 hont op het slike in Monsterambacht en in Naeldwiker ambacht,De Fremery Nal no 3/Bijdr Hist Gen 1901 p 265/Reg EL 5 fol 89r,,
1170011,1289-12-01,"Raaphorst, van","Dirk van Raephorst geeft in erfhuur aan Matheus van den Woude en zijn kinderen en Voppen Arnout Voghelaersz, een hoeve leenland achter Dijxhoorne, geheten de Vrije Hernesse, voor 10 £ jaarlijks, 2 ½ vierder boteren, 200 eieren en 30 hoenre",v.d. Bergh II no 681,,
1170012,1290-09-29,"Raaphorst, van","heer Kerstans van Raaphorst, ridder, draagt op zijn woning te Raiphurst en al zijn land westwaarts van de Paipweg en wordt ermee beleend; graaf Floris geeft heer Kerstans 10 £ per jaar uit de lentebede in het ambacht van de heer van Wassenaire, ""dair Raiphorst in staet, dat geheten is een half ambocht""","v.d. Bergh II no 741, 742; Craandijk: Zuidholland p 236, 237 met verdere beleningen",,
1170013,"1295, 1296","Raaphorst, van","uitspraak over eigendomsrecht van ronden, tienden etc: - land van de Sperten tot de Goude, hierbinnen ligt de polder van Gheret van Raporst, het 2e deel is van de graaf en het 3e van Jan van der Wateringhe",De Fremery no 309,,
1170014,1296-09-14,"Raaphorst, van","geleidebrief van de koning van Engeland voor zijn gezanten in Holland: nl Cristianus de Raphurst, Reginaldus de Yermeny, milites, mr Huardus de Havryng, Walterus de Bruges, clericos","v.d. Bergh II no 957, 958",,
1170015,1297-05-04,"Raaphorst, van",getuige voor graaf Jan: o.a. Christiantus de Raporst en Gerardus de Raporst,v.d. Bergh II no 999,,
1170016,1303-01-09,"Raaphorst, van","Gerard van Raaphorst, ridder, Willem van Haerlem, Dirk van Wassenaer, Bartholomeus Uytterwyk en Jan van Rolland, mannen van de abdij van Egmond, doen uitspraak in het geschil van de abdij met Gheye Jansz over het land tussen Aremerswet en Winnemerswet","Van Mieris II p 25, 26",,
1170017,1306-05-01,"Raaphorst, van",getuigen voor graaf Willem: o.a. Kerstans en Gheret van Raporst,Van Mieris II p 55-57,,
1170018,1306,"Raaphorst, van","""eenen brief van oirlove der steden van Alcmair hoe heer Gerijt van Raporst op sommige punten waerheden mach horen""",R.A.H. Coll Aanw 181 fol 115v/Groot Repert mr Pieter Beoostenzwene dl III,,
1170019,1308-05-24,"Raaphorst, van","brief van de koning van Engeland aan de graaf van Holland over de handelsgeschillen, waarin  Christianus de Raphurst genoemd wordt","Van Mieris II p 75, 86",,
1170020,1309-02-01,"Raaphorst, van","leen van Putten: heer Nicolaas van Putten geeft aan heer Gerrit van Raaphorst, ridder, 20 £ uit zijn legschat in leen; 1311-06-17: Gerard van Raaphorst, eventueel te komen op zijn dochters Hadewig en Armgard ","Reg Hann p 28/Ons Voorgeslacht jg 1979 p 191/R.G.P. Grote Serie no 170 Rek Domein Putten II p 278, 284",,
1170021,1309-11-04,"Raaphorst, van","graaf Willem geeft Kerstant van Raaphorst, ridder, in vrij eigen, 12 £ en een hoeve achter Dijkshoorn, voor een door hem te stichten kapellanie",Reg Hann p 31/Reg XVIII fol 52,,
1170022,1311-01-12,"Raaphorst, van",in de Raad van graaf Willem: o.a. heer Gheraert van Raephorst,Van Mieris II p 81,,
1170023,1311-04-22~,"Raaphorst, van","Jutte of Judith, vrouw van Gerard van Raaphorst, ridder, die jaarlijks 10 sch gegeven heeft ",J van Leyden: Kroniek Egmond p 260 ,,
1170024,1311-05-13,"Raaphorst, van","Symon, priester te Delf en Theodericus Winter, Priester, oorkonden dat Ghiselbertus de Woude verklaard heeft ontvangen te hebben van de proost van Koningsveld de 6 £ 12 sch Holl die door heer Cristancius, ridder, aangewezen waren als teruggave voor wijlen Theodericus de Raporst, en hem en zijn erfgenamen daarvoor heeft gekweten",Reg Rotterdam en Schieland no 208,,
