id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1210001,1282-11<,Vaak,lenen ten tijde van Floris V: 164) Didderic Gerarts Vakenz 9/10 morgen te Oudshoorn ,De Fremery no 228,,
1210002,1334,Vaak,"korentienden in Rijnland verkocht 1333: - in Nuwenvene Jan Maseric voor 60 £, borgen voor ¼: Woubrecht, Gheryt Vake, Arnd de Jonghe; de lammertiende en smaltiende van Rijnland, verkocht in 1333: - in Nuwenvene Gheryt Vake, 56 sc, borg: Woubrecht Ermegaerdez","Rek Hen Huis I p 168, 170",,
1210003,1338,Vaak,"Nortich, Norticherhout, Langevelt van veenhuur: Meus Vake, 18d; in Tetrode, van beesten: Didde Vake 1 scaer, 1 éénwinter aan vee, 4 scare paarden","Rek Houtvester dl VII p 102, 93",,
1210004,1343,Vaak,"in Nuwenveen van tiende behalve 20 £, die Florys van Zuytfaes eruit heeft, Gheret Vaec, 39 £ 10sc; van lammertiende en smaltiende in Rijnland, in Nuwenveen: Gheret Vaec, 52 sc","Rek Hen Huis I p 13, 14",,
1210005,1343,Vaak,"Tetrode van huur: Dieric Vaec, 6d",Rek Rentmeester Kennemerland dl II p 235,,
1210006,1422-02-20,Vaak,"leenregister Culemborg 1410~: - Margriete Wouter Henricsz zuster vrouw van Lijbken Vaecx is beleend met 4 morgen op Paryservelt, belend boven: Dirck Willem Ossenz met leen van Culemborg, beneden: Geryt Gysbertsz; dit goed hebben zij opgedragen Henric de Bastert",Leenregister Culemborg fol 84v,,
1210007,,"Vaeck, van","genoemd: .. van Vaeck x mr Roelant Broeders, dochter Maria",Ned Patriciaat jg 1918,,
1210008,1538,Vaak,"Olivier Hackfort et Stijn Ruythers, sa femme , promettent de rendre indemne Bernard van Welderen, juge à Nimègue, leur répondant envers Josse van Bemmel et sa femme Anne Vaecks",De Raadt II p 17,,
1210009,1639-06-29,Vaal,"losrenten kantoor Medemblik: verschijndag 07-08, Anthony Pietersz Vael, fl 600 - fl 24, afgelost 1777-10-30",Arch. Gecomm Raden Noorderquartier Inv 51,,
1210010,1641-05-16,Vaal,"losrenten kantoor Enkhuizen: verschijndag 05-25, Frans Roemersz Cant tbv Aef Pieters, Cornelis en Meynert Pietersz Vaelken, fl 600 - fl 24",Arch. Gecomm Raden Noorderquartier Inv 51,,
1210011,1100,Vaals,de proost Theoderick geeft aan de St Adalbertskerk te Aken een predium te Beuningen,Sloet no 200 bis,"testes laici: Radulfus advocatus, Albertus, Lewinus, Rodulfus, Lobertus, Stephanus de Vals, Giselbertus",
1210012,1370-11-10,Vaerdam,stierf Simon Vaerdam [van der Dam ?] die 5 £ en 8 sch besprak,Kroniek Egmond p 278,,
1210013,1334-01-18,"Vaert, van der","o.a. Stephanus van der Vaert, door de bisschop van Utrecht uit de excommunicatie ontslagen",Van Mieris II p 558,,
1210014,1334,"Vaert, van der",genoemd: Steven van de Vaart,Batavia Illustrata bl 1209,,
1210015,1130-1160,Vak,abdij Egmond: Simon cognomento Vak en zijn vrouw Oulin dedit terram persolventem 2 sol in Heilgheloevenne,"Bijdr Meded Hist Gen XXI jg 1914 p 25, 167",,
1210016,1182-1206,Vak,"vermeerdering en verwisseling van abdijgoederen van Egmond onder abt Franco: vendidit terram in Aldendorpe persolventem libram, pro qua recepit 26 libras, ex quibus dedit 11 libras Simoni cognomento Vak, pro terra persolvente undecim uncias in Heylichloe et in Warmonde dimidium mansum persolventen 9 uncias","v.d Bergh I no 204, p 36",,
1210017,1572,Vader,"genoemd: Christoffel Vader, Duits hopman of kapitein x Magdalena van Schooten, hieruit: Willem",Batavia Illustrata bl 1085,,
1210018,1570~1620,"Vager, de",gemoemd: Maria de Vager x Nicolaas van der Goes,Batavia Illustrata bl 970,,
1210019,1640-05-10,Faij,"losrenten kantoor Medemblik: verschijndag 05-24, Jan Dircksz Faij, fl 600 - fl 24",Arch. Gecomm Raden Noorderquartier Inv 51,,
1210020,1116-07-16,Valk,"graaf Floris ontheft Alkmaar van het begrafenisgeld, onder de getuigen: Falco",v.d Bergh I no 103,,
1210021,1316-02-18,Valk,schepen van Gorinchem: Goswin Valken,R.A.U. Arch Oudmunster Inv no 1816,,
1210022,1316-04-12,Valk,"stierf Willem Falcosz, 10 sch en werd begraven op het kerkhof der broeders",Kroniek Egmond p 258,,
1210023,1316,Valk,"ontvangen van landhuur in de Nuenbroek: in Slancwijc, Walich Valke 10 sc; uitgaven: afterstal van landhuur in de Nuwenbroec: in Slancwijc: Walich Valke 8sc, in Elfhoeven: Walich Woutersz 14 sc 10d","Rek Hen Huis p 31, 95, 96/Noordholland",,
1210024,1321-12-17,Valk,"Goswijn Valc, 'man'  van heer Jan van Arkel",Cartul Marienweerd no 221,,
1210025,1334,Valk,"van landhuur in het Hagheambacht, op den Veen, van elke morgen 3sc pullos: - Clais Hughe Valken neve 6sc 6 ½ d, - Volkwi Hughe Valken weduwe 8d (p 176); op de Gheest: - Heinric Volkwi man 25 d 3 ord (p 179); van landhuur in Pinackerambacht, in Catwijc: - Ghybe Valke 3sc 10oct (p 193); de korentienden in Pinackerambacht, in Catwijc: - Ghise Valke 6½ hoed en van smaltienden: - Ghise Valke 7½ £, te betalen in mei (p 200)",Rek Rentmeester Noordholland,,
1210026,1335-08-20,Valk,"Peter Kay verkoopt voor 60 £ aan Marienweerd 7 hont in Deyl op het Cortland, belend tussen Marienweerd en   1 hont 82 scaften op Cortlant tussen Gysbrecht Hack van Tuyl en Valke Valkenz",Cartul Marienweerd no 431,,
1210027,1337,Valk,in Haarlem ontvangen van beesten (en in Schoten): Valke Claes Meynardsz 1 paard 18d,Rek Houtvester Holland p 98,,
1210028,1338-06-07,Valk,"Valke Valkenz van Eynspijc verkoopt aan Gheryt Wasgaert, van de Weerde, voor 40 £, 2 morgen in Deyl op Vrowijc, belend tussen Henric Valkenz's erfgenamen en Albert Audscalc; hij ontvangt dit terug tegen een jaarlijkse erfcijns van 40 sc; 1338-08-23: Geryt Wasgaert v.d. Weerde verkoopt voor 40 £  aan Marienweerd 2 morgen in Deyl op Vrowijc tussen Henric Valkenz's erfgenamen en Aelbrecht Oudscalc","Cartul Marienweerd no 471, 475",,
1210029,1345,Valk,"circa Forum te Xanten: de domo Falconis, 1 mark",Memorien Stift Xanten p 192,,
1210030,1350~,Valk,de bonis nostris in Deyl: juxta Falconem 22 hont 11 virgatis minus; Falco filius Falconis debet annuatim 40 sc uit 2 juger land op Vrowijc,Goederenlijst Marienweerd/Cartul Marienweerd,,
1210031,1367-05-17,Valk,"stierf Falco Suwaardsz (Siwaardsz), besprak 5 £, en is begraven buiten het Paradijs; 1316-04-12: stierf Willem Falko'sz, die het klooster 10 schell besproken heeft en op het kerkhof der broeders begraven is","Kroniek Egmond p 262, 258/Dagregister/H van Wijn: Huiszittend Leven II p 110",,
1210032,1384,Valk,"doodslagen binnen Haarlem: van Verdebout Dirkszs dood, ""hierof was ghecomen Claes Dirc Valkenz.z alse hantdadighe ende en hadde nyemant van sinen maghen mit him ghebrocht, alsoe dat hijs niet bliven en woude noch en mochte""",Rechtspraak Graaf van Holland II p 17,,
1210033,1400,Valk,"de domibus circa Forum te Xanten: de domo Falconis, nunc Arnoldi Kije, 1 mark",Memorien Stift Xanten p 257,,
1210034,1404-08-09,Valk,voor eeuwig verbannen uit Haarlem en al 's graven landen wegens de moord op Symon van Zaenden: o.a. Jan Valkenz; 1405-02-11: de graaf verzoent zich met hem tegen betaling van 10 nobels,"Rechtspraak Graaf van Holland II p 196, 203",,Haarlem
1210035,1406-02-14,Valk,"zoengelden wegens de gedoden en gekwetsten binnen Haarlem: van Huge Valkens dood kost de zoen 500 £, zijn magen krijgen daarvan 400 £, de graaf 100 £, en er zullen 200 zielenmissen gelezen worden",Rechtspraak Graaf van Holland II p 208 ev,,Haarlem
1210036,1406-06-18>,Valk,"lijst van personen die het zoengeld voor de doodslag binnen Haarlem op Jan van Sevenbergen moeten betalen: o.a. Symon Clais Valkenz, Valk de backer [elders Volc de backer genoemd]",Rechtspraak Graaf van Holland  ,,Haarlem
1210037,1407-02-12>,Valk,dezen uit Haarlem blijven de uitspraak aan de hertog: o.a. Jan Valkenz,Rechtspraak Graaf van Holland  II p 226,,
1210038,1417-12-13,Valk,"gravin Jacoba beveelt de schout van Haarlem de goederen aldaar van degenen die haar de stad Gorinchem hadden helpen ontweldigen, te verkopen: o.a. van Jan Valkenz",Van Mieris IV p 436,,
1210039,1480-11-06,Valk,"o.a Jan Aelbert Valkenz, anders geheten van Mazen, sticht een armenblok te 's Hertogenbosch",Taxandria jg 1923 p 242,,
1210040,1587,Valk,"schepen van Hoorn: Jan Claesz Valk, sijdekramer",Velius: Chronyk van Hoorn p 26,,
1210041,1665-03-13,Valk,"losrenten kantoor Medemblik: verschijndag 04-23, Pieter Jansz Valck, fl 1600 - fl 64; 1672-01-14/02-02: Pieter Jansz Valck: fl 3000 - fl 120, fl 400 - fl 16, fl 1100 - fl 44; 1672-02-03: fl 600 - fl 24",Arch. Gecomm Raden Noorderquartier Inv 51,,
1210042,,"Valk, van","genoemd: Dirk van de Valk, zoon Gijsbert x Maria Quekel van Wieldrecht, dochter Maria x Cornelis de Bevere Pietersz; Gijsbert van Valk, drossaard van Leerdam x Maria Quekel, dochter Maria x Cornelis de Bevere Pietersz (zie 1555-05-07)","Batavia Illustrata bl 866, 867, 1052",,klopt dit wel?
1210043,1431-1453,Valk,schepen van Alkmaar: Pieter Dircsz Valcken; 1482: Frederic Valken ,Bruinvis: Alkmaar p 30; G.A. Alkmaar Lade 10 vak 16,,
1210044,1555-1559,Valk,"Jan Cornelisz Valcke voogd over de kinderen van wijlen Bartholomeus van Duvenee en zijn vrouw Johanna Haege, en zijn medevoogd Joost Galle procederen over een aan de kinderen toekomende rente op een boomgaard te Goes; 1562-1568: dijkgraaf van de Goese polder, werd 1542-01-30 tot dijkgraaf benoemd iplv Cornelis Cornelisz; 1557-03-09 (1556): Philips II beveelt om Jan Cornelisz Valcke in zijn ambt te handhaven en hij wordt 1564-03-12 (1563) beëdigd","Grote Raad Mechelen Beroepen uit Holland dl VI dossier 520, 596/II, 596/II/5 sub G",,
1210045,1330,"Valkenaar, de","leen van Vianen: Floris de Valkenaar, leenman van Vianen, van wie het leen onbekend is",Ons Voorgeslacht 07-1988 p 330,,
1210046,1332-08-10,"Valkenaar, de","graaf Willem stemt toe dat de vrouw en kinderen van Janne ""onze Valkenaar"" van hem mogen erven",Van Mieris II p 534,,
