nummer,datum,plaats,verkoper,koper,omschrijving,belending,bron,opmerkingen,,
5010001,1528-02-24,Heemskerk,Floris heer van Wyngaarden (hem en zijn voorouders aangekomen uten huijse van Swieten) ,"Alyd van Kyfhoek, douagiere van Assendelft","¼ deel van alle die landen die Willem Willem Andriesz althans in pacht heeft voor 105 R gld per jaar, daarin gerekend die voors 5 Wilh scilden (uit de Rietcamp), en behorende die andere ¾ aan Gysbrecht van Zwieten ¼, Lutgart van Swieten weduwe van Gerrit van Schoten ¼ en Gysbrecht van der Bouchorst en die kinderen van wijlen Floris van der Bouchorst ¼",,Cartul Assumburg,,,
5010002,1508-01-31,Heemskerk,Bouwen Willemsz,de Heilige Geestmeesters te Haerlem,2 ackeren zaetlants van 3 ½ achtendeel rogsading,noord: die Heilige Geest te Haarlem; oost: Joost van Zijl; zuid: Joost van Zijl; west: die Schoubeek  ,Cartul H Geest te Haerlem/ Archief Marquette,,,
5010003,1528-02-24,Heemskerk,Floris heer van Wyngaarden (hem en zijn voorouders aangekomen uten huijse van Swieten) ," Alyd van Kyfhoek, douagiere van Assendelft","¼ deel van alzulke landen als ick gemeen heb leggen met Gysbrecht van Swieten, Lutgart van Swieten weduwe Gerrit van Schoten, Gysbrecht van der Bouchorst en de kinderen van wijlen Floris van der Bouchorst. Bruict: Mergriete Maerten Dircsz weduwe op t Hofland, per jaar voor 15 R gld; daar mijn portie of beloopt 3 R gld 15 st",,Cartul Assumburg,,,
5010004,1528-02-24,Heemskerk,Floris heer van Wyngaarden (hem en zijn voorouders aangekomen uten huijse van Swieten) ," Alyd van Kyfhoek, douagiere van Assendelft","¼ deel van den lande als ik gemeen heb leggende met Gysbrecht van Swieten, Lutgaert van Swieten weduwe Gerrit van Schoten, Gysbrecht van der Bouchorst en de kinderen van wijlen Floris van der Bouchorst; bruict Mergriete Gheryt Dircsz weduwe, per jaar voor 11 R gld, daer mijn portie of beloopt 2 R gld 15 st",,Cartul Assumburg,,,
5010005,1528-02-24,Heemskerk,Floris heer van Wyngaarden (hem en zijn voorouders aangekomen uten huijse van Swieten) ," Alyd van Kyfhoek, douagiere van Assendelft","¼ deel van alzulke landen als ick gemeen heb leggen met Gysbrecht van Swieten, Lutgart van Swieten weduwe Gerrit van Schoten, Gysbrecht van der Bouchorst en de kinderen van wijlen Floris van der Bouchorst; bruict Oetger Dircsz, per jaar voor 22,5  R gld, daar mijn portie of beloopt 56 R gld 8 st en 1 blanck",,Cartul Assumburg,,,
5010006,1529-01-05,Heemskerk,,,"beeindiging van een proces voor het Hof van Holland, bij arbitrale uitspraak tussen Frederic Pouwelsz en Doede Gysbertsz; Doede Gysbertsz zal bruiken voor 15 jaar voor 30 Keyser gld per jaar (40 gr. Vls. = 1 Keysersgld), daarna heeft hij recht van voorkeur: 1)  die croft daer tselve huys op staet, daer Doede voorschreven nu ter tijt in woent, 2) die weijde achter an t huijs      ",,Cartul Assumburg,,,
5010007,1529-01-05,Heemskerk,   ,,"arbitrale uitspraak tussen Frederic Pouwelsz en Doede Gysbertsz (proces voor het Hof van Holland}: Doede Gysbertsz zal bruiken voor 15 jaar (en daarna recht van voorkeur hebben) voor 30 Keysers gld sjaars (40 gr Vls = 1 Keysersgld), een acker an ""mijn vrou van Assendelft croft""     ",,Cartul Assumburg,,,
5010008,1529-01-05,Heemskerk,, ,"arbitrale uitspraak tussen Frederic Pouwelsz en Doede Gysbertsz (proces voor het Hof van Holland): Doede Gysbertsz zal bruiken voor 15 jaar (en daarna recht van voorkeur hebben) voor 30 Keyser glds per jaar (40 gr. Vls. = 1 Keysersgld), 4½ achtendeel rogsadinge over die Beyfferdewech    ",,Cartul Assumburg,,,
5010009,1529-01-05,Heemskerk,,,"arbitrale uitspraak tussen Frederic Pouwelsz en Doede Gysbertsz (proces voor het Hof van Holland): Doede Gysbertsz zal bruiken voor 15 jaar (en daarna recht van voorkeur hebben) voor 30 Keyser gld per jaar (40 gr Vls = 1 Keysersgld), t Bailliuwscampgen      ",,Cartul Assumburg,II 31,,
5010010,1531-12-03,Heemskerk,  ,,"heer Floris Saij alias van Adrichem draagt over zijn leen van de grafelijkheid van Holland van 14 £ Vls uit een hofstede te Noortdorp in het ambacht van Heemskerk en de heer van Assendelft wordt hiermee beleend; deze hofstede behoorde tevoren aan Philips Saij, na dode van zijn broer Bangiaert Saij       ",,Cartul Assumburg,,,
5010011,1531-12-10,Heemskerk,,,"Heynric graaf van Nassau beleent  Geryt heer van Assendelft, na dode van vrouwe Alyd van Kyfhoek met het huis van Haerlem, Oud Haerlem, gelegen te Heemskerk met bijbehorende landen, molen en erf    ",,Cartul Assumburg,I 57,,
5010012,1532-11-28,"Heemskerk, die Breecamp",Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten). Zijn deel in de huur 27 ½ st  ,,"⅛ deel in die Breecamp, gemeenleggende mitten bagynen te Beverwijk, bruict Margriete Gheryt Dircsz weduwe op t Hofland voor 11 Kar gld   ","noordoost: de heer van Assendelft met ""dat Laechgen"" bruict Gerbrant Bartelmeur; zuidoost: de heer van Assendelft met die vier geersen",Cartul Assumburg,I 15? ,,
5010013,1532-11-28,Heemskerk de Breecamp,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten). Zijn aandeel ⅛  ,,"⅛ deel van alle die percelen van landen die Willem Arijsz in pacht of huur heeft en die voornoemde Willem van der Bouchorst in de ban van Heemskerk gemeen heeft leggen mitten voornoemde heer van Assendelft, Gijsbrecht van der Bouchorst, zijn oom Gysbrecht Zwieten en de weduwe van Geryt van Schoten die Willem Arysz in pacht heeft voor 105 Kar gld            ",,Cartul Assumburg,,,
