Nummer,Heemskerk,Sector,Oppervlakte,Eigenaar,Huurder,Huur/pacht/taxatie,Datum,Bron,Opmerkingen,,,, ,,
4100000,de Noord Maadweg,Castricum: ten noorden van de Noordmaadweg III 01 t/m 101,,,,,1561,10e penn inv 74 I fol 43 t/m 49,    ,,,,,,
4100001,,Castricum: ten noorden van de Noordmaadweg III: 01,2850 roeden,Nieltgen Nielsdochter met haer oems kinderen en Trijn Frans Jacopsz weduwe,,getaxeerd voor 18 £  ,1561,10e penn inv 74 I fol 43,,,,,,,
4100002,,Castricum: ten noorden van de Noordmaadweg III: 02,642½ roeden,Hessel Pietersz,,getaxeerd voor 4 £,1561,10e penn inv 74 I fol 43,,,,,,,
4100003,,Castricum: ten noorden van de Noordmaadweg III: 03,2111 roeden,Jan Hesselsz,,getaxeerd voor 13 £ ,1561,10e penn inv 74 I fol 43,,,,,,,
4100004,,Castricum: ten noorden van de Noordmaadweg III: 04,844 roeden,Dirck duynmeijer,,getaxeerd voor 5 £ ,1561,10e penn inv 74 I fol 43,,,,,,,
4100005,   ,Castricum: ten noorden van de Noordmaadweg III: 05,2228 roeden,Gerrit Allertsz,,getaxeerd voor 14 £ ,1561,10e penn inv 74 I fol 43v,,,,,,,
4100006,,Castricum: ten noorden van de Noordmaadweg III: 06,400 roeden,Cornelis Aelbertsz,,getaxeerd voor 2 £ 10 st ,1561,10e penn inv 74 I fol 43v,,,,,,,
4100007,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III: 07,567 roeden,Lysbet Jans tot Haarlem,Baef Jacops de vroedvrouw,5 £ ,1561,10e penn inv 74 I fol 43v,,,,,,,
4100008,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III: 08,400 roeden,de heer van Assendelft,Claes Bartolmeusz; fol 52v: Louweris Martsz,4 £ ,1561,"10e penn inv 74 I fol 43v, 74 II fol 52v",,,,,,,
4100009,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:09,406 roeden,de memorij in de Beverwijck,Lou van Berger,"1 £ 7,5 st",1561,10e penn inv 74 I fol 43v ,,,,,,,
4100010,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:10,274½ roeden,de aelmismeesters,Gelis Florisz,1 £ ,1561,10e penn inv 74 I fol 43v,,,,,,,
4100011,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:11,464½ roeden,Cornelis Aelbertsz,,getaxeerd voor 3 £ 5 st ,1561,10e penn inv 74 I fol 43v,,,,,,,
4100012,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:12,1397½ roeden,Aernt Cornelisz Croeck tot Amsterdam ,Jan Gerritsz en Aelbert Dircsz ,14 £ ,1561,10e penn inv 74 I fol 44,,,,,,,
4100013,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:13,947 roeden,Pieter Agniessen met Trijn Fransz,,"getaxeerd voor 6,5 £ ",1561,10e penn inv 74 I fol 44,,,,,,,
4100014,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:14,487 roeden,Cornelis Aelbertsz,,getaxeerd voor 3 £ ,1561,10e penn inv 74 I fol 44,,,,,,,
4100015,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:15, 474 roeden; fol 52v: 476 roeden                                 ,de heer van Assendelft,Jan Woutersz; fol 52: Louris Willemsz,4 £ 10 st,1561,"10e penn inv 74 I fol 44, 74 II fol 52v",,,,,,,
4100016,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:16,313 roeden,Huijck Heyndricsz en Jan Woutersz ,         ,getaxeerd voor 1 £ 10 st ,1561,10e penn inv 74 I fol 44,,,,,,,
4100017,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:17, 396 roeden ,de heer van Assendelft,Claes Dircsz kinderen,4 £ ,1561,10e penn inv 74 I fol 44,,,,,,,
4100018,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:18,515 roeden,de heer van Assendelft,Michiel Gijsbertsz,…,1561,10e penn inv 74 I fol 44,,,,,,,
4100019,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:19,701 roeden,Gerrit Thomasz uit Haerlem,Dirck Heyndricsz,9 £ ,1561,10e penn inv 74 I fol 44v,,,,,,,
4100020,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:20,701 roeden met meer,"Joost Jansz, broer van de huurder ","Dirck Batten, broer van de verhuurder",8 £ 10 st,1561,"10e penn inv 74 I fol 44v, 53v",,,      ,,,,
4100021,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:21,100 roeden,aelmislant,Gelis Florisz ,10 st,1561,10e penn inv 74 I fol 44v,,,,,,,
4100022,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:22,1761 roeden,Cornelis Aelbertsz,,getaxeerd voor 11 £ 10 st ,1561,10e penn inv 74 I fol 44v,,,,,,,
4100023,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:23,1386 roeden,Ariaen Dircsz,Heijnsoen,18 £ ,1561,10e penn inv 74 I fol 44v,,,,,,,
4100024,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:24,1426 roeden,Claes Willemsz tot Noertwijck,Jan Simonsz,13 £ ,1561,10e penn inv 74 I fol 44v,,,,,,,
4100025,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:25,814½ roeden,de commenduijr,Louris Jansz,4 £  7 st,1561,10e penn inv 74 I fol 44v,,,,,,,
4100026,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:26,624 roeden,heer Adriaen [van Egmont],,getaxeerd voor 3 £  5 st ,1561,10e penn inv 74 I fol 44v,,,,,,,
4100027,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:27,749 roeden,Jan Willemsz,,getaxeerd voor 3 £  10 st ,1561,10e penn inv 74 I fol 44v,,,,,,,
4100028,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:28,1495 roeden met meer,de Regulieren bij Hoorn,Claes Engelsz,10 £ 10 st,1561,10e penn inv 74 I fol 45,,,,,,,
4100029,"in ""de Hem""[in quatiende]",Castricum: ten noorden van de Noordmaadweg III:29,882 roeden,Louris Gerritsz,,getaxeerd voor 4 £  10 st ,1561,10e penn inv 74 I fol 45,,,,,,,
4100030,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:30,930 roeden,de weduwe van Claes Dircsz tot Amsterdam,Jacop Jansz,11 £ 10 st,1561,10e penn inv 74 I fol 45,,,,,,,
4100031,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:31,555½ roeden,heer Jan Gaeuwesz tot Castricum met de abt,Dirck Cornelisz,1 £ ,1561,10e penn inv 74 I fol 45 ,,,,,,,
4100032,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:32,1215 roeden,Jan Duvensz,Parritden Cornelisz,zie fol 24,1561,10e penn inv 74 I fol 45,,,,,,,
4100033,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:33,407 roeden,Claes Willemsz ,,getaxeerd voor 2 £  10 st ,1561,10e penn inv 74 I fol 45,,,,,,,
4100034,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:34,405 roeden,coemen Lamberts weduwe tot Amsterdam en Trijn Frans Velsermans kinderen tot Haerlem ,Dirck Dircksz en Claes Dircksz,zie fol 37,1561,10e penn inv 74 I fol 45,,,,,,,
4100035,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:35,560 roeden,Jan Lourisz,  ,getaxeerd voor 3 £ ,1561,10e penn inv 74 I fol 45v,,,,,,,
4100036,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:36,526 roeden,heer Adriaen [van Egmont],,3 £/3 Kar gld ,1561,10e penn inv 74 I fol 45v,,,,,,,
4100037,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:37,712 roeden,Willem Dircsz,,getaxeerd voor 4 £ ,1561,10e penn inv 74 I fol 45v,,,,,,,
4100038,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:38,356 roeden,het gasthuis in Beverwijck,Jan Lourisz,zie fol 39,1561,10e penn inv 74 I fol 45v,,,,,,,
